alpha,costWeight,priorSigma,time,speakerID,listenerID,partnerID,longUttScore,obj1Score
11,7,1,1,1,2,1,-0.04800168141298404,-0.2128928481851126
11,7,1,2,2,1,1,-2.310633697291248,-0.3752427269836822
11,7,1,3,1,2,1,-0.21867481036696296,-0.03701762128376454
11,7,1,4,2,1,1,-6.7484004480065085,-0.29447262602310204
11,7,1,1,3,4,1,-0.039112748149946704,-0.21997377016361125
11,7,1,2,4,3,1,-0.13106564538206913,-0.31251180506448195
11,7,1,3,3,4,1,-0.017199864348412995,-0.2175305142399661
11,7,1,4,4,3,1,-0.10107142201742644,-0.23546941402061689
11,7,1,5,1,3,2,-0.020348816203821223,-0.01798475511234147
11,7,1,6,3,1,2,-6.281141198032309,-0.3248672335911661
11,7,1,7,1,3,2,-0.021122799562178305,-0.01860868300835079
11,7,1,8,3,1,2,-6.2793644592646185,-0.3254564247674781
11,7,1,5,2,4,2,-0.10255823977564667,-0.2552845156514258
11,7,1,6,4,2,2,-3.353846189659647,-0.2477852545848391
11,7,1,7,2,4,2,-0.5976881032005857,-0.029736813114981126
11,7,1,8,4,2,2,-6.800356692135887,-0.2202378189867996
11,7,1,9,1,4,3,-0.2478992826517938,-0.44081242808829435
11,7,1,10,4,1,3,-17.557684475318464,-0.3330306368261762
11,7,1,11,1,4,3,-0.3013993941023188,-0.4432745419700177
11,7,1,12,4,1,3,-17.54203408871928,-0.3399477522667565
11,7,1,9,2,3,3,-0.011868557599086709,-0.002282928933810337
11,7,1,10,3,2,3,-6.668299759800583,-0.19140037449649824
11,7,1,11,2,3,3,-6.794661745770041,-0.004208785656236999
11,7,1,12,3,2,3,-7.069892901891812,-0.019853209434720635
