alpha,costWeight,priorSigma,time,partnerID,prediction
11,7,1,1,1,-0.12817117918656964
11,7,1,2,1,-0.2986788757938043
11,7,1,3,1,-1.770508424588522
11,7,1,4,1,-6.300612997479211
11,7,1,5,2,-0.19067368293364237
11,7,1,6,2,-0.6568388720726119
11,7,1,7,2,-2.8133545754143814
11,7,1,8,2,-6.585182381288568
11,7,1,9,3,-0.6781270764659696
11,7,1,10,3,-10.016347875510398
11,7,1,11,3,-9.476576376111833
11,7,1,12,3,-9.651165322514613
11,7,1,14,4,-3.4234453353477683
11,7,1,1,1,-0.34187265759359775
11,7,1,2,1,-11.352089577210307
11,7,1,3,1,-11.746014398061579
11,7,1,4,1,-11.403100673017954
11,7,1,5,2,-0.31987238026191983
11,7,1,6,2,-11.904616299822944
11,7,1,7,2,-11.262450098441033
11,7,1,8,2,-12.03715790505422
11,7,1,9,3,-3.776319145607644
11,7,1,10,3,-11.951182156433072
11,7,1,11,3,-11.603481686494057
11,7,1,12,3,-11.250016373374516
11,7,1,14,4,-5.70916202461385
11,7,1,1,1,-0.06258158545263723
11,7,1,2,1,-0.3099210933304945
11,7,1,3,1,-0.4932931737183921
11,7,1,4,1,-1.5895561176809014
11,7,1,5,2,-0.04493196990883061
11,7,1,6,2,-1.6349668525699954
11,7,1,7,2,-1.2890039203686516
11,7,1,8,2,-6.565820165857717
11,7,1,9,3,-0.44203871918968574
11,7,1,10,3,-9.539385416317911
11,7,1,11,3,-10.023546541354728
11,7,1,12,3,-9.468762644537067
11,7,1,14,4,-1.31840822711834
11,7,1,1,1,-0.0553491896435077
11,7,1,2,1,-0.232600637374155
11,7,1,3,1,-1.492899113048642
11,7,1,4,1,-2.1195766770700875
11,7,1,5,2,-0.013143590954037157
11,7,1,6,2,-0.6086218659869013
11,7,1,7,2,-6.6397455192909955
11,7,1,8,2,-6.740134356454908
11,7,1,9,3,-0.002179722428877507
11,7,1,10,3,-0.876277340830935
11,7,1,11,3,-6.366303044510316
11,7,1,12,3,-6.906481706216576
11,7,1,14,4,-0.01545298469482147
11,7,1,1,1,-0.37229873928148655
11,7,1,2,1,-11.499341685039822
11,7,1,3,1,-11.43541445066441
11,7,1,4,1,-12.031859364170375
11,7,1,5,2,-0.5790241727188672
11,7,1,6,2,-1.9922979252976916
11,7,1,7,2,-6.830824159022203
11,7,1,8,2,-7.214872201775465
11,7,1,9,3,-1.4550777980875722
11,7,1,10,3,-2.406005591762611
11,7,1,11,3,-6.903342451519125
11,7,1,12,3,-7.697809311543285
11,7,1,14,4,-3.2747034906232493
11,7,1,1,1,-0.16893959957491236
