170-longer,mixed,8,8,0.8,0.01
180-longer,mixed,8,8,0.8,0.01
190-longer,mixed,8,8,0.8,0.01
200-longer,mixed,8,8,0.8,0.01
50-longer,mixed,8,8,0.8,0.01
60-longer,mixed,8,8,0.8,0.01
70-longer,mixed,8,8,0.8,0.01
80-longer,mixed,8,8,0.8,0.01
90-longer,mixed,8,8,0.8,0.01
100-longer,mixed,8,8,0.8,0.01
110-longer,mixed,8,8,0.8,0.01
120-longer,mixed,8,8,0.8,0.01
130-longer,mixed,8,8,0.8,0.01
140-longer,mixed,8,8,0.8,0.01
150-longer,mixed,8,8,0.8,0.01
160-longer,mixed,8,8,0.8,0.01
170-longer,subOnly,8,8,0.8,0.01
180-longer,subOnly,8,8,0.8,0.01
190-longer,subOnly,8,8,0.8,0.01
200-longer,subOnly,8,8,0.8,0.01
50-longer,subOnly,8,8,0.8,0.01
60-longer,subOnly,8,8,0.8,0.01
70-longer,subOnly,8,8,0.8,0.01
80-longer,subOnly,8,8,0.8,0.01
90-longer,subOnly,8,8,0.8,0.01
100-longer,subOnly,8,8,0.8,0.01
110-longer,subOnly,8,8,0.8,0.01
120-longer,subOnly,8,8,0.8,0.01
130-longer,subOnly,8,8,0.8,0.01
140-longer,subOnly,8,8,0.8,0.01
150-longer,subOnly,8,8,0.8,0.01
160-longer,subOnly,8,8,0.8,0.01
170-longer,basicOnly,8,8,0.8,0.01
180-longer,basicOnly,8,8,0.8,0.01
190-longer,basicOnly,8,8,0.8,0.01
200-longer,basicOnly,8,8,0.8,0.01
50-longer,basicOnly,8,8,0.8,0.01
60-longer,basicOnly,8,8,0.8,0.01
70-longer,basicOnly,8,8,0.8,0.01
80-longer,basicOnly,8,8,0.8,0.01
90-longer,basicOnly,8,8,0.8,0.01
100-longer,basicOnly,8,8,0.8,0.01
110-longer,basicOnly,8,8,0.8,0.01
120-longer,basicOnly,8,8,0.8,0.01
130-longer,basicOnly,8,8,0.8,0.01
140-longer,basicOnly,8,8,0.8,0.01
150-longer,basicOnly,8,8,0.8,0.01
160-longer,basicOnly,8,8,0.8,0.01
