iterationName	gameid	time	nomu	geni	higa	kuhe	gala	kole	wago	kiha	piku	nime	mumo	lawa	pune	molu	wulo	luki	target	finalRole	eventType
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485199901	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485204412	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare2	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485206547	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare1	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485208732	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	redSquare2	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485211078	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485212500	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485214696	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare2	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485216011	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	spottedCircle2	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485217695	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	redSquare1	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485218357	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	stripedCircle1	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485221373	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	stripedCircle2	speaker	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485221835	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	redSquare2	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485224119	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	spottedCircle1	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485226881	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	spottedCircle2	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485229908	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	false	stripedCircle1	listener	postTest_object
experiment1	8468-bc0364f8-fc38-4552-997b-4e610d0acdc1	1516485233299	false	false	false	false	false	false	true	false	false	false	false	false	false	false	true	false	stripedCircle2	listener	postTest_object
