iterationName	gameid	time	hehi	hupe	haha	nuge	lola	mulu	linu	miku	peno	nele	none	pogi	mowi	luwu	nilo	kaho	target	finalRole	eventType
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485686447	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485696215	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	blueSquare2	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485699269	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	redSquare1	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485712220	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	redSquare2	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485714696	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485724130	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485727407	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle2	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485730373	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	stripedCircle1	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485734394	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	stripedCircle2	speaker	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485752383	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	blueSquare2	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485767878	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	redSquare1	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485779354	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	redSquare2	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485799909	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle1	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485815555	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle2	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485836599	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	stripedCircle1	listener	postTest_object
experiment1	6583-dd626e0a-0f9b-43a5-9c89-9103b29e8302	1516485838994	false	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	stripedCircle2	listener	postTest_object
