iterationName	gameid	time	neni	ganu	poho	mawi	heke	hala	kipu	homi	wogi	luka	wegu	wame	paku	lamu	kopa	geha	target	finalRole	eventType
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486075871	false	false	false	false	false	true	false	false	false	false	false	false	false	true	false	false	blueSquare1	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486080181	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	blueSquare2	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486083334	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare1	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486086952	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	redSquare2	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486109934	false	false	false	true	false	false	false	true	false	false	false	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486114147	false	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	spottedCircle2	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486120618	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	stripedCircle1	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486123220	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	stripedCircle2	speaker	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486124983	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486135215	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	blueSquare2	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486140627	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare1	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486149148	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	redSquare2	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486158940	false	false	false	true	false	false	false	true	false	false	false	false	false	false	false	false	spottedCircle1	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486163971	false	false	false	true	false	false	false	true	false	false	false	false	false	false	false	false	spottedCircle2	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486172303	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	stripedCircle1	listener	postTest_object
experiment1	0888-836cf6dd-4836-4d3e-bc34-2ad06f1a5352	1516486175485	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	stripedCircle2	listener	postTest_object
