iterationName	gameid	time	luhi	woga	pimi	pemu	hegu	meku	hoka	gehu	wupo	mowa	mime	kepa	mana	hiki	hule	kike	target	finalRole	eventType
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426101765	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	blueSquare1	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426107613	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	blueSquare2	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426115775	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	redSquare1	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426118369	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	redSquare2	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426125324	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	spottedCircle1	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426133119	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle2	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426142527	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	stripedCircle1	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426143481	true	false	false	false	false	false	false	false	false	false	false	false	false	true	false	true	blueSquare1	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426146675	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	blueSquare2	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426147058	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	stripedCircle2	listener	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426150100	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	true	redSquare1	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426154290	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	redSquare2	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426157010	false	false	false	false	false	false	false	false	false	false	true	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426159710	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle2	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426163654	false	false	true	true	false	false	false	false	false	false	false	false	false	true	false	false	stripedCircle1	speaker	postTest_object
experiment1	2566-b380ed65-fb2b-4b87-9946-c395bf458cc3	1516426168033	false	false	true	true	false	false	false	false	false	false	false	false	false	false	false	false	stripedCircle2	speaker	postTest_object
