iterationName	gameid	time	noke	kagi	niko	pewa	lipi	paho	henu	gela	nelo	hihi	wano	wiha	kohu	wuku	muwu	kine	target	finalRole	eventType
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489091799	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489094520	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare2	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489097443	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	redSquare1	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489099590	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare1	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489102692	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	redSquare2	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489103741	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	blueSquare2	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489107294	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	spottedCircle1	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489111730	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	spottedCircle2	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489111915	false	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	redSquare1	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489116471	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	stripedCircle1	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489118694	false	false	false	false	false	false	false	false	false	false	false	false	true	false	false	false	redSquare2	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489121728	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	stripedCircle2	speaker	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489126534	false	false	false	false	false	true	false	false	false	false	false	false	false	false	false	false	spottedCircle1	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489129988	false	false	false	true	false	false	false	false	false	false	false	false	false	false	false	false	spottedCircle2	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489134494	false	true	false	false	false	false	false	false	false	false	false	false	false	false	false	false	stripedCircle1	listener	postTest_object
experiment1	8206-94ca6312-231e-43cf-a372-49f431764bb7	1516489137754	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	true	stripedCircle2	listener	postTest_object
