model,time,partnerID,alpha,cost,chainNum,prediction
complete_pooling,0,1,11,7,0,0.49810985449656847
complete_pooling,1,1,11,7,0,0.7444489573270833
complete_pooling,2,1,11,7,0,0.8264374434982483
complete_pooling,3,1,11,7,0,0.8704409353997504
complete_pooling,4,2,11,7,0,0.8919509816776682
complete_pooling,5,2,11,7,0,0.9112862901273715
complete_pooling,6,2,11,7,0,0.9200803619422778
complete_pooling,7,2,11,7,0,0.9330878769866604
complete_pooling,8,3,11,7,0,0.9376963814171727
complete_pooling,9,3,11,7,0,0.9394211048005208
complete_pooling,10,3,11,7,0,0.9476706086004701
complete_pooling,11,3,11,7,0,0.9560299690664044
complete_pooling,12,4,11,7,0,0.9526203414910199
complete_pooling,0,1,11,7,10,0.5036497307078859
complete_pooling,1,1,11,7,10,0.7532781579272577
complete_pooling,2,1,11,7,10,0.8325465483010217
complete_pooling,3,1,11,7,10,0.8665966873501305
complete_pooling,4,2,11,7,10,0.8940757201978111
complete_pooling,5,2,11,7,10,0.9158148426987522
complete_pooling,6,2,11,7,10,0.932189486505192
complete_pooling,7,2,11,7,10,0.9358266599207308
complete_pooling,8,3,11,7,10,0.9443375774130599
complete_pooling,9,3,11,7,10,0.9451103000312734
complete_pooling,10,3,11,7,10,0.9505635651744355
complete_pooling,11,3,11,7,10,0.9495719722379857
complete_pooling,12,4,11,7,10,0.9573396806355384
complete_pooling,0,1,11,7,11,0.4886251364170353
complete_pooling,1,1,11,7,11,0.7539876334684233
complete_pooling,2,1,11,7,11,0.8230745298981441
complete_pooling,3,1,11,7,11,0.8664951297353786
complete_pooling,4,2,11,7,11,0.8922784115124209
complete_pooling,5,2,11,7,11,0.9037991089232092
complete_pooling,6,2,11,7,11,0.9318484487050878
complete_pooling,7,2,11,7,11,0.9253792320052759
complete_pooling,8,3,11,7,11,0.9350493429974518
complete_pooling,9,3,11,7,11,0.950536004641115
complete_pooling,10,3,11,7,11,0.9435676055729222
complete_pooling,11,3,11,7,11,0.9578346024365003
complete_pooling,12,4,11,7,11,0.9593208725768797
complete_pooling,0,1,11,7,12,0.49150894081360014
complete_pooling,1,1,11,7,12,0.7436006337072468
complete_pooling,2,1,11,7,12,0.8247468875435241
complete_pooling,3,1,11,7,12,0.8767120053684258
complete_pooling,4,2,11,7,12,0.893500380153582
complete_pooling,5,2,11,7,12,0.9133582696828433
complete_pooling,6,2,11,7,12,0.9136386437378192
complete_pooling,7,2,11,7,12,0.9391982408471148
complete_pooling,8,3,11,7,12,0.953807259118639
complete_pooling,9,3,11,7,12,0.9448889988680919
complete_pooling,10,3,11,7,12,0.9481175850696082
complete_pooling,11,3,11,7,12,0.9525249004851037
complete_pooling,12,4,11,7,12,0.960433045959655
complete_pooling,0,1,11,7,13,0.5012578764643993
complete_pooling,1,1,11,7,13,0.7611826246200196
complete_pooling,2,1,11,7,13,0.8136645437000235
complete_pooling,3,1,11,7,13,0.856003637487731
complete_pooling,4,2,11,7,13,0.8763596131619444
complete_pooling,5,2,11,7,13,0.9139467761932236
complete_pooling,6,2,11,7,13,0.908078303308896
complete_pooling,7,2,11,7,13,0.9295474310743206
complete_pooling,8,3,11,7,13,0.9401351864846371
complete_pooling,9,3,11,7,13,0.9525530625591497
complete_pooling,10,3,11,7,13,0.9500157443699706
complete_pooling,11,3,11,7,13,0.9519680396369713
complete_pooling,12,4,11,7,13,0.9593666263694564
complete_pooling,0,1,11,7,14,0.5000315425502271
complete_pooling,1,1,11,7,14,0.7651966172645442
complete_pooling,2,1,11,7,14,0.8248082629849353
complete_pooling,3,1,11,7,14,0.8767269241561467
complete_pooling,4,2,11,7,14,0.8827302349791382
complete_pooling,5,2,11,7,14,0.9004042598205552
complete_pooling,6,2,11,7,14,0.914747711521513
complete_pooling,7,2,11,7,14,0.929239612324642
complete_pooling,8,3,11,7,14,0.9332625532771589
complete_pooling,9,3,11,7,14,0.945889996339506
complete_pooling,10,3,11,7,14,0.9532523228600569
complete_pooling,11,3,11,7,14,0.9538048645477151
complete_pooling,12,4,11,7,14,0.9567436342639906
complete_pooling,0,1,11,7,15,0.5049493381643645
complete_pooling,1,1,11,7,15,0.7530978876148048
complete_pooling,2,1,11,7,15,0.8406394096552965
complete_pooling,3,1,11,7,15,0.8671221988000605
complete_pooling,4,2,11,7,15,0.8997454427812278
complete_pooling,5,2,11,7,15,0.9085831089433317
complete_pooling,6,2,11,7,15,0.9225324566148186
complete_pooling,7,2,11,7,15,0.9355000744650921
complete_pooling,8,3,11,7,15,0.9247295414112678
complete_pooling,9,3,11,7,15,0.947668031619307
complete_pooling,10,3,11,7,15,0.9514936929879
complete_pooling,11,3,11,7,15,0.9524836590821799
complete_pooling,12,4,11,7,15,0.9592258035797494
complete_pooling,0,1,11,7,16,0.49641102952999994
complete_pooling,1,1,11,7,16,0.7511987018132723
complete_pooling,2,1,11,7,16,0.8158621257762033
complete_pooling,3,1,11,7,16,0.8719198167631569
complete_pooling,4,2,11,7,16,0.8944213243894014
complete_pooling,5,2,11,7,16,0.9128334102125635
complete_pooling,6,2,11,7,16,0.9153243639595043
complete_pooling,7,2,11,7,16,0.9405679259689106
complete_pooling,8,3,11,7,16,0.9415577675370909
complete_pooling,9,3,11,7,16,0.9417183694236265
complete_pooling,10,3,11,7,16,0.9438585153445157
complete_pooling,11,3,11,7,16,0.954751135462059
complete_pooling,12,4,11,7,16,0.9502951062279763
complete_pooling,0,1,11,7,17,0.4972761630310986
complete_pooling,1,1,11,7,17,0.7584895050721449
complete_pooling,2,1,11,7,17,0.8331424485481888
complete_pooling,3,1,11,7,17,0.8676773032429379
complete_pooling,4,2,11,7,17,0.8991310150446046
complete_pooling,5,2,11,7,17,0.9085275598333072
complete_pooling,6,2,11,7,17,0.9282854465608061
complete_pooling,7,2,11,7,17,0.9267535569976549
complete_pooling,8,3,11,7,17,0.937639805657893
complete_pooling,9,3,11,7,17,0.9430876594980192
