model,chainNum,alpha,costWeight,time,partnerID,prediction
complete_pooling,0,11,7,1,1,-0.15785119601593325
complete_pooling,0,11,7,2,1,-0.004779016150138204
complete_pooling,0,11,7,3,1,-0.025562149743631454
complete_pooling,0,11,7,4,1,-0.14721688283719558
complete_pooling,0,11,7,5,2,-4.326974839633799
complete_pooling,0,11,7,6,2,-5.600705782172871
complete_pooling,0,11,7,7,2,-6.5307408442062975
complete_pooling,0,11,7,8,2,-7.080686041268365
complete_pooling,0,11,7,9,3,-7.414006769991442
complete_pooling,0,11,7,10,3,-7.1165103653647765
complete_pooling,0,11,7,11,3,-7.649720721097319
complete_pooling,0,11,7,12,3,-7.28701796875216
complete_pooling,0,11,7,14,4,-7.950028912554139
complete_pooling,10,11,7,1,1,-0.04995473785545112
complete_pooling,10,11,7,2,1,-0.006351453880316832
complete_pooling,10,11,7,3,1,-0.054020153710656174
complete_pooling,10,11,7,4,1,-4.0207635827968
complete_pooling,10,11,7,5,2,-6.273739565520954
complete_pooling,10,11,7,6,2,-7.181110858548045
complete_pooling,10,11,7,7,2,-7.87257289597761
complete_pooling,10,11,7,8,2,-8.14909092309778
complete_pooling,10,11,7,9,3,-7.8577838312639505
complete_pooling,10,11,7,10,3,-8.168449044454768
complete_pooling,10,11,7,11,3,-8.155954700582296
complete_pooling,10,11,7,12,3,-8.162689096123684
complete_pooling,10,11,7,14,4,-8.40240975838222
complete_pooling,11,11,7,1,1,-0.20022378408009803
complete_pooling,11,11,7,2,1,-0.007354045437754314
complete_pooling,11,11,7,3,1,-0.029481458069970035
complete_pooling,11,11,7,4,1,-4.598053332241433
complete_pooling,11,11,7,5,2,-5.834425433430008
complete_pooling,11,11,7,6,2,-7.127215324032784
complete_pooling,11,11,7,7,2,-7.772031256052538
complete_pooling,11,11,7,8,2,-7.813243760072021
complete_pooling,11,11,7,9,3,-7.865351241897918
complete_pooling,11,11,7,10,3,-7.921117462539954
complete_pooling,11,11,7,11,3,-8.151339198351996
complete_pooling,11,11,7,12,3,-8.560578774044599
complete_pooling,11,11,7,14,4,-8.393737480009616
complete_pooling,12,11,7,1,1,-0.06087505088615336
complete_pooling,12,11,7,2,1,-0.0058261604846485335
complete_pooling,12,11,7,3,1,-0.03714842131361357
complete_pooling,12,11,7,4,1,-0.07983780494889457
complete_pooling,12,11,7,5,2,-0.15327021456783638
complete_pooling,12,11,7,6,2,-0.5594745337003387
complete_pooling,12,11,7,7,2,-3.9554998528052843
complete_pooling,12,11,7,8,2,-5.689127097570658
complete_pooling,12,11,7,9,3,-6.072722119633122
complete_pooling,12,11,7,10,3,-6.342595195511597
complete_pooling,12,11,7,11,3,-6.835263129873766
complete_pooling,12,11,7,12,3,-6.976738420345635
complete_pooling,12,11,7,14,4,-7.092211748821999
complete_pooling,13,11,7,1,1,-0.05559700726199784
complete_pooling,13,11,7,2,1,-0.005595187109158012
complete_pooling,13,11,7,3,1,-0.03027100413545375
complete_pooling,13,11,7,4,1,-0.08823603454820637
complete_pooling,13,11,7,5,2,-0.18059384627288105
complete_pooling,13,11,7,6,2,-4.2478126112068235
complete_pooling,13,11,7,7,2,-5.794841576871644
complete_pooling,13,11,7,8,2,-5.9647807288974155
complete_pooling,13,11,7,9,3,-6.945764330053619
complete_pooling,13,11,7,10,3,-6.992211841842948
complete_pooling,13,11,7,11,3,-7.411159023816462
complete_pooling,13,11,7,12,3,-7.460135560064275
complete_pooling,13,11,7,14,4,-7.480694066550626
complete_pooling,14,11,7,1,1,-0.17123864752405277
complete_pooling,14,11,7,2,1,-9.17577373265934
complete_pooling,14,11,7,3,1,-11.1095931155451
complete_pooling,14,11,7,4,1,-10.677833220565173
complete_pooling,14,11,7,5,2,-11.74463426062122
complete_pooling,14,11,7,6,2,-11.671325663283504
complete_pooling,14,11,7,7,2,-11.62228242072628
complete_pooling,14,11,7,8,2,-11.539977871543675
complete_pooling,14,11,7,9,3,-12.512692384225407
complete_pooling,14,11,7,10,3,-11.729918744327708
complete_pooling,14,11,7,11,3,-11.287768328461786
complete_pooling,14,11,7,12,3,-11.670231290980045
complete_pooling,14,11,7,14,4,-11.731911606537588
complete_pooling,15,11,7,1,1,-0.08535780897458879
complete_pooling,15,11,7,2,1,-8.912261899809286
complete_pooling,15,11,7,3,1,-10.307036523698747
complete_pooling,15,11,7,4,1,-12.037409595007363
complete_pooling,15,11,7,5,2,-11.60888578545078
complete_pooling,15,11,7,6,2,-11.794171410116853
complete_pooling,15,11,7,7,2,-11.475680892787361
complete_pooling,15,11,7,8,2,-11.86989273512699
complete_pooling,15,11,7,9,3,-11.981771206202344
complete_pooling,15,11,7,10,3,-12.077474336551571
complete_pooling,15,11,7,11,3,-11.80746573369886
complete_pooling,15,11,7,12,3,-11.835181972991252
complete_pooling,15,11,7,14,4,-11.991896722650997
complete_pooling,16,11,7,1,1,-0.04698269994538501
complete_pooling,16,11,7,2,1,-0.0062425529989838455
complete_pooling,16,11,7,3,1,-0.027915451624320232
complete_pooling,16,11,7,4,1,-0.19004475211642116
complete_pooling,16,11,7,5,2,-0.3268964631848198
complete_pooling,16,11,7,6,2,-0.5139531287170769
complete_pooling,16,11,7,7,2,-0.7562663276350251
complete_pooling,16,11,7,8,2,-4.221290531266286
complete_pooling,16,11,7,9,3,-5.689442483927264
complete_pooling,16,11,7,10,3,-6.146462346707851
complete_pooling,16,11,7,11,3,-6.737051666414725
complete_pooling,16,11,7,12,3,-6.764935865594864
complete_pooling,16,11,7,14,4,-6.834397989739484
complete_pooling,17,11,7,1,1,-1.6057886137766388
complete_pooling,17,11,7,2,1,-7.818407201763255
complete_pooling,17,11,7,3,1,-10.323457169894041
complete_pooling,17,11,7,4,1,-11.525130749607593
complete_pooling,17,11,7,5,2,-11.71210761419877
complete_pooling,17,11,7,6,2,-11.180271327953946
complete_pooling,17,11,7,7,2,-11.756603612111082
complete_pooling,17,11,7,8,2,-11.823534362620736
complete_pooling,17,11,7,9,3,-11.984760153849022
complete_pooling,17,11,7,10,3,-11.888497322697868
complete_pooling,17,11,7,11,3,-11.710125930882151
complete_pooling,17,11,7,12,3,-12.274643370366432
complete_pooling,17,11,7,14,4,-11.687231955699387
complete_pooling,18,11,7,1,1,-0.08860750693879643
complete_pooling,18,11,7,2,1,-0.009240929516838784
complete_pooling,18,11,7,3,1,-0.044848152787217474
complete_pooling,18,11,7,4,1,-0.09664181885829859
complete_pooling,18,11,7,5,2,-0.19177120362810027
complete_pooling,18,11,7,6,2,-0.27686687028039353
complete_pooling,18,11,7,7,2,-0.5662035117142639
complete_pooling,18,11,7,8,2,-0.787450773426766
complete_pooling,18,11,7,9,3,-1.3091752449229548
complete_pooling,18,11,7,10,3,-4.571767975416352
complete_pooling,18,11,7,11,3,-5.509297898900325
complete_pooling,18,11,7,12,3,-6.16357298866467
complete_pooling,18,11,7,14,4,-6.122263628506187
complete_pooling,19,11,7,1,1,-0.07430784431564424
complete_pooling,19,11,7,2,1,-0.007451725090994988
complete_pooling,19,11,7,3,1,-0.036762450101356633
complete_pooling,19,11,7,4,1,-0.05665311276673183
complete_pooling,19,11,7,5,2,-0.17009186482065516
complete_pooling,19,11,7,6,2,-4.493688086663898
complete_pooling,19,11,7,7,2,-5.687841837725276
complete_pooling,19,11,7,8,2,-6.315136461303097
complete_pooling,19,11,7,9,3,-6.897489680664766
complete_pooling,19,11,7,10,3,-6.85289159960878
complete_pooling,19,11,7,11,3,-7.505466126026462
complete_pooling,19,11,7,12,3,-7.507666974482864
complete_pooling,19,11,7,14,4,-7.32965484155567
complete_pooling,1,11,7,1,1,-0.13951812136457778
complete_pooling,1,11,7,2,1,-0.016560182812149615
complete_pooling,1,11,7,3,1,-0.03735927155751288
complete_pooling,1,11,7,4,1,-0.08769420837007044
complete_pooling,1,11,7,5,2,-0.3585746427472217
complete_pooling,1,11,7,6,2,-0.36063136695895187
complete_pooling,1,11,7,7,2,-0.6872940583785335
complete_pooling,1,11,7,8,2,-1.1548271110188824
complete_pooling,1,11,7,9,3,-1.359966689037707
complete_pooling,1,11,7,10,3,-3.780678137910293
complete_pooling,1,11,7,11,3,-5.375617505134694
complete_pooling,1,11,7,12,3,-5.711291350150963
complete_pooling,1,11,7,14,4,-6.28721860647441
complete_pooling,20,11,7,1,1,-0.07025417038079597
complete_pooling,20,11,7,2,1,-0.006405809905508752
