alpha,costWeight,priorSigma,time,speakerID,listenerID,partnerID,utt,longUttScore,object,object1Score
11,7,1,1,1,2,1,word1_word2,-0.1473493537552457,object1,-0.21770409481933725
11,7,1,2,2,1,1,word2,-2.6475676017832654,object1,-0.3772650656332924
11,7,1,3,1,2,1,word1_word2,-0.05223501955232018,object1,-0.03445447063971491
11,7,1,4,2,1,1,word2,-6.784283785624655,object2,-0.3062802976043044
11,7,1,1,3,4,1,word1_word2,-0.061577451042641174,object1,-0.23131238788990216
11,7,1,2,4,3,1,word1_word2,-0.06778824909549988,object1,-0.2340826607391464
11,7,1,3,3,4,1,word1_word2,-0.06352897895584766,object1,-0.2289516483053029
11,7,1,4,4,3,1,word1_word2,-0.05169886087670501,object2,-0.22976570098310284
11,7,1,5,1,3,2,word1_word2,-0.01423495371994938,object1,-0.027823820571210214
11,7,1,6,3,1,2,word2,-6.6525805155580855,object1,-0.3255898467240884
11,7,1,7,1,3,2,word1_word2,-0.02126236796860315,object1,-0.02600998097325398
11,7,1,8,3,1,2,word2,-6.614429469807874,object2,-0.32699617654246166
11,7,1,5,2,4,2,word1,-0.956375483369648,object2,-0.2942196255300698
11,7,1,6,4,2,2,word2,-61.97317351421081,object1,-0.4296668486508062
11,7,1,7,2,4,2,word1_word2,-0.11847209255213172,object1,-0.49630344391659004
11,7,1,8,4,2,2,word2,-7.629175091264464,object1,-0.3044622836358776
11,7,1,9,1,4,3,word2,-3.64326356966205,object1,-0.005298215465230369
11,7,1,10,4,1,3,word2,-13.264663277611543,object1,-0.2803776784467904
11,7,1,11,1,4,3,word2,-3.3799462535771383,object1,-0.005789254229796486
11,7,1,12,4,1,3,word2,-13.378370300983674,object1,-0.2832053640552815
11,7,1,9,2,3,3,word1_word2,-0.05172023326566931,object1,-0.024124673174592257
11,7,1,10,3,2,3,word1,-6.833165320413874,object1,-0.09366567561804644
11,7,1,11,2,3,3,word1,-6.777680482210725,object1,-0.06728119274294654
11,7,1,12,3,2,3,word1,-6.706950101355213,object1,-0.01733246798002728
11,7,1,1,1,2,1,word1_word2,-0.07764133173211003,object1,-0.2379840304400213
11,7,1,2,2,1,1,word2,-2.9638686538378156,object2,-0.36271966761234364
11,7,1,3,1,2,1,word1,-2.398715948823082,object1,-0.011577505824611194
11,7,1,4,2,1,1,word1,-7.546776994167218,object2,-0.2700652920908919
11,7,1,1,3,4,1,word1,-5.559593801041942,object1,-0.2806567716437435
11,7,1,2,4,3,1,word1,-5.5404991680741,object1,-0.2735361464626955
11,7,1,3,3,4,1,word1,-6.199066128823169,object1,-0.2824714768030085
11,7,1,4,4,3,1,word1,-5.566969501309266,object1,-0.2736592647202481
11,7,1,5,1,3,2,word1,-3.482679506795712,object1,-0.00689100598725019
11,7,1,6,3,1,2,word1,-9.488001540850895,object2,-0.31440332726983933
11,7,1,7,1,3,2,word1,-3.902166307121164,object1,-0.006463120932694137
11,7,1,8,3,1,2,word1,-9.674741159393392,object1,-0.31166961237748136
11,7,1,5,2,4,2,word1_word2,-0.005805565809843879,object1,-0.3847169105898189
11,7,1,6,4,2,2,word2,-2.111666763176734,object2,-0.42544254334022313
11,7,1,7,2,4,2,word1,-2.9955530841738423,object1,-0.012961948631272584
11,7,1,8,4,2,2,word1,-7.705352144757963,object1,-0.29561956995221206
11,7,1,9,1,4,3,word1_word2,-0.004840592170872143,object1,-0.08733246903280341
11,7,1,10,4,1,3,word1,-10.741747712776096,object2,-0.3608528046484024
11,7,1,11,1,4,3,word1_word2,-0.0032487225340034104,object1,-0.09239900103137556
11,7,1,12,4,1,3,word1,-10.753180143017039,object1,-0.3625671007767926
11,7,1,9,2,3,3,word1,-10.67463265825593,object1,-0.08515251560164355
11,7,1,10,3,2,3,word1,-4.645233087773054,object1,-0.056810619250042285
11,7,1,11,2,3,3,word1,-17.51805902754263,object1,-0.06780457187910194
11,7,1,12,3,2,3,word1,-4.572502070271104,object1,-0.021935762918945476
11,7,1,1,1,2,1,word1_word2,-0.2669897620130401,object1,-0.23968704277586023
11,7,1,2,2,1,1,word1,-3.1185412149997007,object1,-0.3713236712374819
11,7,1,3,1,2,1,word1_word2,-0.06838223813881686,object1,-0.0369039877726603
11,7,1,4,2,1,1,word1,-6.749607415190139,object1,-0.30570759522011626
11,7,1,1,3,4,1,word1_word2,-0.009260536381813015,object2,-0.23420198764572078
11,7,1,2,4,3,1,word1_word2,-0.028817728154802415,object2,-0.22551275594534823
11,7,1,3,3,4,1,word1_word2,-0.013975736970142061,object1,-0.23800716049272136
11,7,1,4,4,3,1,word1_word2,-0.027382336905610323,object1,-0.22965297573363638
11,7,1,5,1,3,2,word1_word2,-0.033953365754122396,object1,-0.023356616552547206
11,7,1,6,3,1,2,word1,-6.651948230875911,object1,-0.3345714898763721
11,7,1,7,1,3,2,word1_word2,-0.020788113236555685,object1,-0.023310903437532983
11,7,1,8,3,1,2,word1,-6.4904136362451235,object1,-0.33211260970961454
11,7,1,5,2,4,2,word1_word2,-0.01305861035449864,object1,-0.24182928668678347
11,7,1,6,4,2,2,word1,-3.2880753493911787,object1,-0.25611470560566185
11,7,1,7,2,4,2,word1,-0.2122093248357081,object1,-0.030092402641242928
11,7,1,8,4,2,2,word1,-6.991947229557345,object1,-0.19072252862657937
11,7,1,9,1,4,3,word1,-1.8970764973139325,object1,-0.006603169938748464
11,7,1,10,4,1,3,word1,-22.715164494690416,object2,-0.2783065356048082
11,7,1,11,1,4,3,word1,-2.416372742424912,object1,-0.006185244102337242
11,7,1,12,4,1,3,word1,-22.72941446710628,object1,-0.28063793474626125
11,7,1,9,2,3,3,word1_word2,-0.1525128842567937,object1,-0.0028762935840663455
11,7,1,10,3,2,3,word1,-7.148409740392902,object1,-0.10059405627396374
11,7,1,11,2,3,3,word1,-6.783511305781483,object1,-0.004886056173862887
11,7,1,12,3,2,3,word1,-7.266914574820847,object1,-0.020997590205409495
11,7,1,1,1,2,1,word1_word2,-0.0906169069992373,object2,-0.21580875829774293
11,7,1,2,2,1,1,word3_word4,-154.9347913401864,object2,-1.0635809528302291
11,7,1,3,1,2,1,word1_word2,-0.0777233247533005,object2,-1.8384781503695138
11,7,1,4,2,1,1,word3,-84.22085544196176,object2,-1.04406032781262
11,7,1,1,3,4,1,word1_word2,-0.18868124340475131,object1,-0.5231397290415537
11,7,1,2,4,3,1,word2,-0.35345339745565235,object1,-0.5419269270387786
11,7,1,3,3,4,1,word1_word2,-0.1736280224290567,object1,-0.5244778949896011
11,7,1,4,4,3,1,word1_word2,-0.15919550407288344,object2,-0.5517147535631589
11,7,1,5,1,3,2,word1,-1.5645026323537579,object2,-0.5293643313594961
11,7,1,6,3,1,2,word1,-84.8778111133229,object1,-0.4723756376534437
11,7,1,7,1,3,2,word1,-1.879039613980325,object1,-0.5339474878543595
11,7,1,8,3,1,2,word1,-83.0739598845706,object1,-0.475088757944377
11,7,1,5,2,4,2,word1,-4.277868211377509,object2,-0.4498863760466543
11,7,1,6,4,2,2,word2,-91.41795454168312,object1,-0.49592126049777385
11,7,1,7,2,4,2,word2,-15.593153835447838,object1,-0.032421809470784387
11,7,1,8,4,2,2,word2,-50.81061373702565,object2,-0.3657125789392932
11,7,1,9,1,4,3,word2,-5.840335799566888,object1,-0.008831206819063443
11,7,1,10,4,1,3,word2,-16.627387395888558,object1,-0.3198029986073884
11,7,1,11,1,4,3,word2,-5.7480718176681265,object1,-0.008323134901984212
11,7,1,12,4,1,3,word2,-16.697735925543245,object1,-0.317438583988119
11,7,1,9,2,3,3,word1_word2,-0.8426192439329016,object2,-2.3360301046053475
11,7,1,10,3,2,3,word1,-4.717694447123193,object2,-1.7912873432272707
11,7,1,11,2,3,3,word4,-178.5085845074598,object2,-2.2309914657678602
11,7,1,12,3,2,3,word2,-3.5879641715160333,object1,-0.2749512121729196
11,7,1,1,1,2,1,word1_word2,-0.10631097827917917,object1,-0.22233846653192768
11,7,1,2,2,1,1,word1,-2.3815543331963323,object1,-0.3622360017056097
11,7,1,3,1,2,1,word1_word2,-0.004461686357082227,object1,-0.03879033265043342
11,7,1,4,2,1,1,word1,-6.7889696361598215,object1,-0.29424484715538113
11,7,1,1,3,4,1,word1_word2,-0.07548721448634418,object1,-0.23055333342445952
11,7,1,2,4,3,1,word1_word2,-0.07215755335988303,object2,-0.23937528859746948
11,7,1,3,3,4,1,word1_word2,-0.05173989605706447,object1,-0.2296116132499393
11,7,1,4,4,3,1,word1_word2,-0.07755602123121354,object1,-0.24384249937341643
11,7,1,5,1,3,2,word1_word2,-0.03327084710248588,object1,-0.02534012018819256
11,7,1,6,3,1,2,word1,-6.3122438112651205,object1,-0.3242148142384628
11,7,1,7,1,3,2,word1_word2,-0.04573429711247464,object1,-0.023425984863815242
11,7,1,8,3,1,2,word1,-6.3869042869929,object1,-0.32340986250414894
11,7,1,5,2,4,2,word1_word2,-0.010610077045594565,object2,-0.25441242414485177
11,7,1,6,4,2,2,word3_word4,-135.8834660563546,object2,-1.1500990836113547
11,7,1,7,2,4,2,word1,-1.8080707754990542,object1,-0.47830905277515234
11,7,1,8,4,2,2,word1,-112.78163570586969,object1,-0.2777023822761059
11,7,1,9,1,4,3,word1,-4.751667424207342,object1,-0.003996437722212988
11,7,1,10,4,1,3,word1,-12.809446059136036,object1,-0.281137033601451
11,7,1,11,1,4,3,word1,-4.503608966465222,object1,-0.00461857694817585
11,7,1,12,4,1,3,word1,-12.762317211945126,object1,-0.28307196599967643
11,7,1,9,2,3,3,word1_word2,-0.0658163938301613,object1,-0.002115613973998517
11,7,1,10,3,2,3,word1,-7.176749136703927,object1,-0.10762590126207636
11,7,1,11,2,3,3,word1,-6.779771632738905,object1,-0.002732733333287981
11,7,1,12,3,2,3,word1,-7.209214612258464,object1,-0.017281078673672606
11,7,1,1,1,2,1,word1,-0.36278627290047166,object2,-0.32857323836194074
11,7,1,2,2,1,1,word2,-71.7910443085398,object1,-0.3862044076004846
11,7,1,3,1,2,1,word2,-6.641228928168751,object1,-0.03350963713616646
11,7,1,4,2,1,1,word2,-35.81229026921533,object2,-0.30329898585816784
11,7,1,1,3,4,1,word2,-10.115402785060219,object1,-0.2985986406534854
11,7,1,2,4,3,1,word2,-8.283953372202987,object1,-0.2959998135167706
11,7,1,3,3,4,1,word2,-9.571644498989201,object1,-0.2995076929232333
11,7,1,4,4,3,1,word2,-7.819318665802946,object1,-0.2968690298949311
11,7,1,5,1,3,2,word2,-6.247071411950793,object1,-0.021140567296667887
11,7,1,6,3,1,2,word2,-30.26964508584433,object1,-0.3203402593120271
11,7,1,7,1,3,2,word2,-6.809117647642864,object1,-0.020996001774890184
11,7,1,8,3,1,2,word2,-30.002625917926416,object1,-0.31959579229189106
11,7,1,5,2,4,2,word2,-2.0759494150690614,object2,-0.4264635155361066
11,7,1,6,4,2,2,word1,-85.43492530240617,object2,-0.5481360388662134
11,7,1,7,2,4,2,word2,-10.925432426419185,object2,-2.270297542780946
11,7,1,8,4,2,2,word3_word4,-253.63987900611966,object1,-1.2114405069132128
11,7,1,9,1,4,3,word2,-2.532276477086114,object1,-0.01496130171624021
11,7,1,10,4,1,3,word2,-11.728786272496498,object1,-0.2670157356869213
11,7,1,11,1,4,3,word2,-2.7550075873537665,object1,-0.013446154042286673
11,7,1,12,4,1,3,word2,-11.61910966989263,object1,-0.26710117524185994
11,7,1,9,2,3,3,word2,-10.062649431824386,object1,-0.003118675249938834
11,7,1,10,3,2,3,word2,-11.235121926528256,object1,-0.03390134625660105
11,7,1,11,2,3,3,word2,-13.635026664052385,object1,-0.0029833159401504096
11,7,1,12,3,2,3,word2,-11.243981119610114,object1,-0.01487911024496351
11,7,1,1,1,2,1,word1_word2,-0.07927757234935495,object1,-0.2504265032029622
11,7,1,2,2,1,1,word1,-2.4693887035114557,object1,-0.362398404562216
11,7,1,3,1,2,1,word1_word2,-0.027792251976549644,object1,-0.03314591742617235
11,7,1,4,2,1,1,word1,-6.625630744893118,object1,-0.3062453640164302
11,7,1,1,3,4,1,word1,-0.08759796560725161,object1,-0.29712700228488054
11,7,1,2,4,3,1,word1_word2,-0.12078250561612691,object2,-0.23925182485509675
11,7,1,3,3,4,1,word1_word2,-0.0476104547332703,object1,-0.22733002916984424
11,7,1,4,4,3,1,word1_word2,-0.05374868265035103,object1,-0.23602451696949517
11,7,1,5,1,3,2,word1_word2,-0.013708508987931968,object1,-0.02646576217946377
11,7,1,6,3,1,2,word1,-6.65437762059183,object1,-0.32902460899845043
11,7,1,7,1,3,2,word1_word2,-0.02309033172837623,object1,-0.02639409040897051
11,7,1,8,3,1,2,word1,-6.629727269383535,object1,-0.33989833396577557
11,7,1,5,2,4,2,word1_word2,-0.09397812725611493,object1,-0.27499260463629166
11,7,1,6,4,2,2,word1,-3.003169902344734,object1,-0.24744006212550393
11,7,1,7,2,4,2,word1,-0.773670253122745,object1,-0.03323989894336975
11,7,1,8,4,2,2,word1,-7.000095470645219,object1,-0.21684088644302468
11,7,1,9,1,4,3,word1,-3.873422480541372,object1,-0.00622153460457193
11,7,1,10,4,1,3,word1,-16.88154654364633,object2,-0.28026489338665417
11,7,1,11,1,4,3,word1,-3.7238399328427576,object1,-0.006922071175603473
11,7,1,12,4,1,3,word1,-16.924322747871784,object1,-0.28325144792929635
11,7,1,9,2,3,3,word1,-0.4393363690079468,object1,-0.004305409676005527
11,7,1,10,3,2,3,word1,-7.1410828108249635,object1,-0.03724176724524264
11,7,1,11,2,3,3,word1,-11.352615449130578,object1,-0.004256626865709964
11,7,1,12,3,2,3,word1,-7.310770415351986,object1,-0.01574399305322181
11,7,1,1,1,2,1,word1_word2,-0.08703450595423587,object2,-0.22141000235639327
11,7,1,2,2,1,1,word4,-153.30564794374035,object1,-0.8828516048686951
11,7,1,3,1,2,1,word1_word2,-0.04916485101484375,object2,-2.4687440545343837
11,7,1,4,2,1,1,word4,-240.82646283423142,object2,-0.7053074947628849
11,7,1,1,3,4,1,word1,-0.6647317897207826,object2,-0.6260574504106384
11,7,1,2,4,3,1,word1_word2,-0.1763142490962438,object1,-0.6106399676150577
11,7,1,3,3,4,1,word1_word2,-0.5265857733104228,object1,-0.5892073057071857
11,7,1,4,4,3,1,word1,-0.23758740632571568,object2,-0.5921156118796805
11,7,1,5,1,3,2,word1_word2,-0.06850495721680971,object2,-3.065456967415846
11,7,1,6,3,1,2,word4,-190.4812821756852,object2,-0.7944903150238989
11,7,1,7,1,3,2,word1_word2,-0.09936400031904923,object1,-3.056573092021108
11,7,1,8,3,1,2,word4,-189.92389554468875,object2,-0.7846272378133696
