chainNum,alpha,costWeight,time,speakerID,listenerID,partnerID,utt,longUttScore,word1Score,objectPicked,object1Score
0,11,7,1,1,2,1,word2,-0.08115460182452952,-3.6180972271317455,-4.1347704635721705,object2,-0.3394319425527342
0,11,7,2,2,1,1,word2,-11.793618055811255,-49.60046109215395,-65.71296306309544,object1,-0.028739113933261864
0,11,7,3,1,2,1,word2,-11.627795158665654,-51.67509343285958,-83.17780283520159,object1,-0.00796314755444035
0,11,7,4,2,1,1,word2,-11.734524283878876,-56.20937868718305,-90.57545342931118,object1,-0.004413769980993971
0,11,7,1,3,4,1,word1_word2,-0.0628246819536323,-3.233780426772764,-3.338497287060985,object1,-0.21624011970617144
0,11,7,2,4,3,1,word1_word2,-0.29074521680901805,-3.636124248120048,-0.6095096161639458,object1,-0.017956256260145406
0,11,7,3,3,4,1,word1,-1.8448019207853632,-0.29198263604550334,-0.9232051407251874,object1,-0.07058395386960069
0,11,7,4,4,3,1,word1,-6.362330767059291,-0.0017268531189901983,-0.0015187652543034106,object1,-0.011917159821457282
0,11,7,5,1,3,2,word1_word2,-0.2489180491875942,-14.025567556952694,-1.2831942043273301,object2,-0.22593385285089732
0,11,7,6,3,1,2,word1,-1.4211672371647595,-0.2843904070667983,-4.26195745202235,object1,-0.14483145167328734
0,11,7,7,1,3,2,word1,-6.440607040238625,-0.0015967146743172853,-0.0011023583142221675,object1,-0.010619326366229894
0,11,7,8,3,1,2,word1,-7.220551223609267,-0.0007316667573871563,-0.0009269703639862623,object1,-0.00429833812593826
0,11,7,5,2,4,2,word1_word2,-0.35821053057929225,-13.505464358455086,-1.4028481433449367,object1,-0.22266471083653222
0,11,7,6,4,2,2,word1_word2,-1.353185432121009,-0.30593838132744366,-3.109220253975048,object1,-0.020818907010585863
0,11,7,7,2,4,2,word2,-2.3929029795750427,-5.50431730752864,-0.3608948042694724,object1,-0.06494130031502691
0,11,7,8,4,2,2,word2,-6.259587637766154,-13.49832905226539,-8.80167087359165,object1,-0.00935981271233893
0,11,7,9,1,4,3,word1_word2,-0.025754673543062268,-9.344513235411915,-6.515228082024664,object1,-0.1628082426715313
0,11,7,10,4,1,3,word1,-0.5976349408494317,-2.341273648333921,-1.3112921132981707,object1,-0.10341287897940689
0,11,7,11,1,4,3,word1,-6.311494428944084,-0.0018170449311956441,-0.001135991105725222,object1,-0.011468128930739903
0,11,7,12,4,1,3,word1,-6.925602732508813,-0.0009827975225053897,-0.0009185767853594171,object1,-0.0035471030794472806
0,11,7,9,2,3,3,word2,-0.9879201948728459,-19.00716961260386,-0.06202575057392314,object1,-0.42121217904641983
0,11,7,10,3,2,3,word2,-7.942779979738585,-26.724530888813323,-68.54573523907477,object1,-0.01623473571409576
0,11,7,11,2,3,3,word2,-10.615091141169328,-51.219032551547414,-46.017782832754506,object1,-0.008552052693060705
0,11,7,12,3,2,3,word2,-8.557236892425717,-29.38635309205554,-87.5668135488094,object1,-0.003422251568261658
chainNum,alpha,costWeight,time,speakerID,listenerID,partnerID,utt,longUttScore,word1Score,objectPicked,object1Score
