alpha,costWeight,priorSigma,time,partnerID,prediction
1,0,1,1,1,-1.4937639261162787
1,0,1,2,1,-1.6928494520909672
1,0,1,3,1,-1.8518798194365893
1,0,1,4,1,-1.7487437087108042
1,0,1,5,2,-1.548489327889189
1,0,1,6,2,-1.44153947034605
1,0,1,7,2,-1.4017236958828163
1,0,1,8,2,-1.3652096993315919
1,0,1,9,3,-1.4904424658026438
14,2,1,1,1,-5.122470838315925e-7
14,2,1,2,1,-0.00007823592947708017
14,2,1,3,1,-0.0009960704445983709
14,2,1,4,1,-0.0033336896295948324
14,2,1,5,2,-3.4066829415498295e-9
14,2,1,6,2,-0.0002445739587831036
14,2,1,7,2,-0.0017748286712846236
14,2,1,8,2,-0.007237472726449157
14,2,1,9,3,-1.8129036103449383e-8
14,3,1,1,1,-0.000009171466693628596
14,3,1,2,1,-0.00013484701262105487
14,3,1,3,1,-0.001057598016299106
14,3,1,4,1,-0.007077666301220969
14,3,1,5,2,-4.239758775276792e-9
14,3,1,6,2,-0.00016202191822505191
14,3,1,7,2,-0.005677686805331193
14,3,1,8,2,-0.03991829054649365
14,3,1,9,3,-1.908631115827886e-8
14,4,1,1,1,-0.000019706008288242306
14,4,1,2,1,-0.0009049457658036936
14,4,1,3,1,-0.011938768065068167
14,4,1,4,1,-0.02995368171426989
14,4,1,5,2,-9.84679365119879e-9
14,4,1,6,2,-0.0009222550215374495
14,4,1,7,2,-0.012853028382052108
14,4,1,8,2,-0.039091667632584697
14,4,1,9,3,-8.804545003203812e-8
14,5,1,1,1,-0.0003463746917375428
14,5,1,2,1,-0.0019818579940515195
14,5,1,3,1,-0.032945755717960885
14,5,1,4,1,-0.1625489124221264
14,5,1,5,2,-3.9897130951065896e-8
14,5,1,6,2,-0.0019625693274248762
14,5,1,7,2,-0.03145929632747277
14,5,1,8,2,-0.14096969014960498
14,5,1,9,3,-1.002083465344419e-7
14,6,1,1,1,-0.00005251793635709729
14,6,1,2,1,-0.002877667436223401
14,6,1,3,1,-0.07623400310571252
14,6,1,4,1,-0.0979802236413025
14,6,1,5,2,-1.2877073626052468e-7
14,6,1,6,2,-0.002610647664394059
14,6,1,7,2,-0.13084349784699614
14,6,1,8,2,-5.186090435393245
14,6,1,9,3,-0.00011181026400915669
14,7,1,1,1,-0.00006323622178422563
14,7,1,2,1,-0.004307106149450836
14,7,1,3,1,-0.11431683598010174
14,7,1,4,1,-0.14498249278196
14,7,1,5,2,-2.7050628398859097e-7
14,7,1,6,2,-0.023935953351280268
14,7,1,7,2,-0.1581862681954221
14,7,1,8,2,-5.791254955074898
14,7,1,9,3,-0.00038263608924886275
14,8,1,1,1,-0.0003974473021840683
