time,partnerID,prediction
1,1,-0.06966925259886031
2,1,-0.19893064650059417
3,1,-0.5601797381543001
4,1,-4.5973671247085655
6,2,-0.03123909031885217
6,2,-0.6413915622128865
7,2,-4.751515711314186
8,2,-5.3797671341976026
9,3,-0.3074029572229477
