object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
redSquare1,spottedCircle1,stripedCircle1,redSquare2,redSquare2,spottedCircle1,1,mixedLower,sub,word5,game67,2,1
blueSquare2,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,stripedCircle1,2,mixedLower,basic,word5,game67,1,2
stripedCircle2,redSquare2,spottedCircle2,redSquare1,redSquare1,stripedCircle2,3,mixedLower,sub,word6,game67,2,1
stripedCircle2,spottedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,4,mixedLower,sub,word11,game67,1,2
stripedCircle2,redSquare2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,5,mixedLower,basic,word13,game67,2,1
blueSquare2,spottedCircle2,stripedCircle2,blueSquare1,blueSquare1,blueSquare2,6,mixedLower,sub,word14,game67,1,2
stripedCircle1,stripedCircle2,blueSquare1,redSquare1,redSquare1,blueSquare1,7,mixedLower,basic,word13,game67,2,1
spottedCircle2,redSquare2,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,8,mixedLower,sub,word14,game67,1,2
stripedCircle1,spottedCircle2,spottedCircle1,stripedCircle2,stripedCircle2,spottedCircle2,9,mixedLower,sub,word16,game67,2,1
blueSquare1,redSquare2,spottedCircle1,stripedCircle1,stripedCircle1,blueSquare1,10,mixedLower,basic,word11,game67,1,2
blueSquare1,redSquare2,spottedCircle1,blueSquare2,blueSquare2,redSquare2,11,mixedLower,sub,word13,game67,2,1
redSquare2,blueSquare2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,12,mixedLower,basic,word11,game67,1,2
spottedCircle1,stripedCircle1,blueSquare1,redSquare2,redSquare2,spottedCircle1,13,mixedLower,basic,word9,game67,2,1
redSquare1,stripedCircle2,redSquare2,blueSquare1,blueSquare1,redSquare2,14,mixedLower,basic,word10,game67,1,2
stripedCircle2,spottedCircle1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,15,mixedLower,sub,word1,game67,2,1
redSquare1,spottedCircle2,stripedCircle1,blueSquare2,blueSquare2,spottedCircle2,16,mixedLower,basic,word4,game67,1,2
blueSquare2,blueSquare1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,17,mixedLower,basic,word14,game67,2,1
stripedCircle1,blueSquare2,redSquare1,blueSquare1,blueSquare1,stripedCircle1,18,mixedLower,sub,word13,game67,1,2
spottedCircle1,redSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,19,mixedLower,sub,word6,game67,2,1
redSquare2,redSquare1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,20,mixedLower,basic,word11,game67,1,2
stripedCircle2,redSquare1,redSquare2,blueSquare2,blueSquare2,blueSquare2,21,mixedLower,basic,word8,game67,2,1
spottedCircle1,redSquare1,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,22,mixedLower,basic,word11,game67,1,2
spottedCircle2,blueSquare2,blueSquare1,redSquare2,redSquare2,spottedCircle2,23,mixedLower,basic,word6,game67,2,1
spottedCircle2,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,blueSquare1,24,mixedLower,sub,word10,game67,1,2
stripedCircle2,blueSquare2,spottedCircle2,redSquare1,redSquare1,blueSquare2,25,mixedLower,basic,word6,game67,2,1
spottedCircle1,blueSquare1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle1,26,mixedLower,sub,word14,game67,1,2
stripedCircle2,redSquare2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,27,mixedLower,sub,word11,game67,2,1
stripedCircle1,redSquare2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,28,mixedLower,basic,word8,game67,1,2
spottedCircle2,blueSquare1,spottedCircle1,blueSquare2,blueSquare2,blueSquare1,29,mixedLower,sub,word8,game67,2,1
redSquare2,stripedCircle1,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,30,mixedLower,sub,word10,game67,1,2
stripedCircle1,blueSquare2,redSquare1,redSquare2,redSquare2,blueSquare2,31,mixedLower,sub,word8,game67,2,1
blueSquare1,redSquare2,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,32,mixedLower,basic,word14,game67,1,2
redSquare1,spottedCircle1,stripedCircle1,redSquare2,redSquare2,spottedCircle1,33,mixedLower,sub,word10,game67,2,1
stripedCircle1,spottedCircle1,redSquare2,blueSquare2,blueSquare2,blueSquare2,34,mixedLower,basic,word8,game67,1,2
blueSquare1,redSquare2,spottedCircle1,redSquare1,redSquare1,redSquare1,35,mixedLower,sub,word6,game67,2,1
blueSquare1,redSquare2,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,36,mixedLower,sub,word11,game67,1,2
spottedCircle2,redSquare1,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,37,mixedLower,basic,word10,game67,2,1
blueSquare1,stripedCircle1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,38,mixedLower,basic,word14,game67,1,2
spottedCircle2,redSquare2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,39,mixedLower,basic,word11,game67,2,1
stripedCircle1,blueSquare1,spottedCircle1,redSquare2,redSquare2,redSquare2,40,mixedLower,basic,word4,game67,1,2
redSquare1,blueSquare1,redSquare2,blueSquare2,blueSquare2,blueSquare1,41,mixedLower,sub,word8,game67,2,1
spottedCircle1,redSquare1,stripedCircle2,spottedCircle2,spottedCircle2,stripedCircle2,42,mixedLower,sub,word10,game67,1,2
stripedCircle1,stripedCircle2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,43,mixedLower,basic,word14,game67,2,1
stripedCircle2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,blueSquare1,44,mixedLower,basic,word8,game67,1,2
spottedCircle2,blueSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,45,mixedLower,sub,word14,game67,2,1
spottedCircle1,blueSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,46,mixedLower,sub,word10,game67,1,2
blueSquare2,redSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare2,47,mixedLower,sub,word8,game67,2,1
blueSquare2,spottedCircle1,blueSquare1,redSquare1,redSquare1,spottedCircle1,48,mixedLower,basic,word14,game67,1,2
blueSquare1,spottedCircle2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,49,mixedLower,sub,word14,game67,2,1
spottedCircle1,redSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,50,mixedLower,basic,word8,game67,1,2
blueSquare2,spottedCircle1,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,51,mixedLower,basic,word11,game67,2,1
stripedCircle1,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,52,mixedLower,sub,word10,game67,1,2
stripedCircle2,redSquare1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,53,mixedLower,sub,word11,game67,2,1
blueSquare2,redSquare1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,54,mixedLower,basic,word14,game67,1,2
redSquare1,blueSquare2,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,55,mixedLower,basic,word10,game67,2,1
blueSquare1,stripedCircle1,spottedCircle1,redSquare2,redSquare2,redSquare2,56,mixedLower,basic,word4,game67,1,2
stripedCircle1,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare2,57,mixedLower,sub,word13,game67,2,1
blueSquare1,blueSquare2,redSquare1,redSquare2,redSquare2,redSquare2,58,mixedLower,sub,word4,game67,1,2
spottedCircle1,blueSquare1,blueSquare2,redSquare1,redSquare1,redSquare1,59,mixedLower,basic,word6,game67,2,1
blueSquare2,stripedCircle1,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,60,mixedLower,basic,word1,game67,1,2
redSquare2,spottedCircle2,spottedCircle1,redSquare1,redSquare1,redSquare1,61,mixedLower,sub,word6,game67,2,1
stripedCircle2,redSquare1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,62,mixedLower,sub,word1,game67,1,2
stripedCircle1,redSquare2,spottedCircle1,blueSquare2,blueSquare2,redSquare2,63,mixedLower,basic,word13,game67,2,1
spottedCircle1,redSquare1,blueSquare2,blueSquare1,blueSquare1,blueSquare1,64,mixedLower,sub,word8,game67,1,2
stripedCircle1,redSquare2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,65,mixedLower,sub,word10,game67,2,1
stripedCircle1,spottedCircle2,blueSquare1,blueSquare2,blueSquare2,spottedCircle2,66,mixedLower,sub,word7,game67,1,2
blueSquare1,blueSquare2,redSquare2,redSquare1,redSquare1,redSquare1,67,mixedLower,sub,word6,game67,2,1
stripedCircle1,redSquare1,blueSquare1,redSquare2,redSquare2,redSquare2,68,mixedLower,sub,word4,game67,1,2
spottedCircle2,redSquare1,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,69,mixedLower,basic,word8,game67,2,1
redSquare1,blueSquare1,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,70,mixedLower,sub,word14,game67,1,2
spottedCircle1,redSquare2,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,71,mixedLower,basic,word10,game67,2,1
stripedCircle2,stripedCircle1,redSquare2,spottedCircle2,spottedCircle2,redSquare2,72,mixedLower,basic,word1,game67,1,2
stripedCircle2,blueSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,73,mixedLower,basic,word6,game67,2,1
blueSquare1,blueSquare2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,74,mixedLower,basic,word14,game67,1,2
spottedCircle1,blueSquare2,blueSquare1,spottedCircle2,spottedCircle2,blueSquare2,75,mixedLower,sub,word4,game67,2,1
spottedCircle1,redSquare2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,76,mixedLower,basic,word11,game67,1,2
stripedCircle1,redSquare2,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,77,mixedLower,basic,word8,game67,2,1
stripedCircle2,spottedCircle2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,78,mixedLower,sub,word11,game67,1,2
redSquare2,stripedCircle2,blueSquare2,blueSquare1,blueSquare1,blueSquare2,79,mixedLower,sub,word8,game67,2,1
spottedCircle1,stripedCircle1,blueSquare2,redSquare2,redSquare2,redSquare2,80,mixedLower,basic,word4,game67,1,2
redSquare1,spottedCircle2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,81,mixedLower,basic,word10,game67,2,1
stripedCircle1,redSquare2,stripedCircle2,redSquare1,redSquare1,redSquare1,82,mixedLower,sub,word6,game67,1,2
stripedCircle2,spottedCircle1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,83,mixedLower,sub,word11,game67,2,1
spottedCircle1,stripedCircle2,blueSquare2,blueSquare1,blueSquare1,blueSquare1,84,mixedLower,sub,word8,game67,1,2
stripedCircle2,blueSquare1,blueSquare2,redSquare1,redSquare1,redSquare1,85,mixedLower,basic,word6,game67,2,1
stripedCircle1,blueSquare2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,86,mixedLower,basic,word14,game67,1,2
redSquare1,blueSquare1,stripedCircle2,redSquare2,redSquare2,redSquare2,87,mixedLower,sub,word4,game67,2,1
spottedCircle2,blueSquare2,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,88,mixedLower,sub,word14,game67,1,2
stripedCircle1,redSquare2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,89,mixedLower,basic,word8,game67,2,1
stripedCircle1,redSquare2,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,90,mixedLower,basic,word1,game67,1,2
blueSquare1,blueSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,91,mixedLower,sub,word10,game67,2,1
blueSquare2,stripedCircle2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,92,mixedLower,sub,word1,game67,1,2
stripedCircle2,spottedCircle1,redSquare2,blueSquare2,blueSquare2,blueSquare2,93,mixedLower,basic,word13,game67,2,1
stripedCircle2,blueSquare1,spottedCircle2,redSquare2,redSquare2,redSquare2,94,mixedLower,basic,word4,game67,1,2
blueSquare1,redSquare1,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,95,mixedLower,basic,word11,game67,2,1
spottedCircle1,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare1,96,mixedLower,sub,word8,game67,1,2
