object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
spottedCircle2,blueSquare1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle2,1,subOnly,sub,word6,game52,2,1
redSquare1,blueSquare2,stripedCircle1,blueSquare1,blueSquare1,blueSquare2,2,subOnly,sub,word3,game52,1,2
redSquare1,redSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,3,subOnly,sub,word13,game52,2,1
stripedCircle1,redSquare1,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,4,subOnly,sub,word5,game52,1,2
stripedCircle2,redSquare1,blueSquare1,redSquare2,redSquare2,redSquare2,5,subOnly,sub,word11,game52,2,1
spottedCircle1,redSquare2,stripedCircle2,redSquare1,redSquare1,redSquare1,6,subOnly,sub,word12,game52,1,2
redSquare1,blueSquare1,stripedCircle1,blueSquare2,blueSquare2,blueSquare1,7,subOnly,sub,word16,game52,2,1
redSquare1,spottedCircle1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle1,8,subOnly,sub,word7,game52,1,2
redSquare1,stripedCircle2,redSquare2,stripedCircle1,stripedCircle1,stripedCircle2,9,subOnly,sub,word5,game52,2,1
blueSquare1,redSquare1,stripedCircle1,blueSquare2,blueSquare2,blueSquare1,10,subOnly,sub,word3,game52,1,2
spottedCircle2,stripedCircle1,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle1,11,subOnly,sub,word6,game52,2,1
stripedCircle1,redSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,12,subOnly,sub,word7,game52,1,2
stripedCircle1,blueSquare2,spottedCircle1,blueSquare1,blueSquare1,spottedCircle1,13,subOnly,sub,word15,game52,2,1
blueSquare1,redSquare2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,14,subOnly,sub,word13,game52,1,2
redSquare2,blueSquare1,spottedCircle2,spottedCircle1,spottedCircle1,blueSquare1,15,subOnly,sub,word1,game52,2,1
stripedCircle2,redSquare1,stripedCircle1,redSquare2,redSquare2,redSquare1,16,subOnly,sub,word8,game52,1,2
blueSquare1,spottedCircle1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,17,subOnly,sub,word13,game52,2,1
spottedCircle2,redSquare1,blueSquare2,blueSquare1,blueSquare1,blueSquare2,18,subOnly,sub,word16,game52,1,2
spottedCircle2,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare2,19,subOnly,sub,word16,game52,2,1
redSquare1,spottedCircle2,redSquare2,spottedCircle1,spottedCircle1,redSquare1,20,subOnly,sub,word9,game52,1,2
spottedCircle2,redSquare2,spottedCircle1,redSquare1,redSquare1,redSquare2,21,subOnly,sub,word12,game52,2,1
redSquare2,stripedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,22,subOnly,sub,word6,game52,1,2
stripedCircle1,blueSquare2,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,23,subOnly,sub,word5,game52,2,1
blueSquare1,spottedCircle1,redSquare1,redSquare2,redSquare2,blueSquare1,24,subOnly,sub,word12,game52,1,2
spottedCircle1,stripedCircle2,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,25,subOnly,sub,word6,game52,2,1
blueSquare2,redSquare2,stripedCircle2,blueSquare1,blueSquare1,redSquare2,26,subOnly,sub,word12,game52,1,2
redSquare2,blueSquare2,spottedCircle1,redSquare1,redSquare1,spottedCircle1,27,subOnly,sub,word9,game52,2,1
stripedCircle2,blueSquare1,spottedCircle2,spottedCircle1,spottedCircle1,blueSquare1,28,subOnly,sub,word15,game52,1,2
redSquare1,blueSquare1,stripedCircle2,redSquare2,redSquare2,stripedCircle2,29,subOnly,sub,word11,game52,2,1
blueSquare1,redSquare1,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,30,subOnly,sub,word16,game52,1,2
spottedCircle1,blueSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,31,subOnly,sub,word5,game52,2,1
blueSquare2,stripedCircle1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,32,subOnly,sub,word13,game52,1,2
stripedCircle1,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,33,subOnly,sub,word5,game52,2,1
stripedCircle1,spottedCircle2,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,34,subOnly,sub,word15,game52,1,2
spottedCircle1,redSquare2,blueSquare1,redSquare1,redSquare1,redSquare1,35,subOnly,sub,word9,game52,2,1
spottedCircle1,stripedCircle1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,36,subOnly,sub,word13,game52,1,2
stripedCircle2,redSquare1,blueSquare1,redSquare2,redSquare2,redSquare2,37,subOnly,sub,word11,game52,2,1
redSquare2,spottedCircle1,blueSquare2,blueSquare1,blueSquare1,blueSquare1,38,subOnly,sub,word12,game52,1,2
spottedCircle1,stripedCircle1,blueSquare1,blueSquare2,blueSquare2,blueSquare2,39,subOnly,sub,word16,game52,2,1
stripedCircle2,blueSquare2,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,40,subOnly,sub,word6,game52,1,2
blueSquare1,redSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,41,subOnly,sub,word11,game52,2,1
spottedCircle1,blueSquare2,redSquare2,redSquare1,redSquare1,spottedCircle1,42,subOnly,sub,word9,game52,1,2
spottedCircle1,blueSquare2,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,43,subOnly,sub,word13,game52,2,1
spottedCircle2,blueSquare2,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,44,subOnly,sub,word12,game52,1,2
stripedCircle1,spottedCircle2,blueSquare1,blueSquare2,blueSquare2,blueSquare2,45,subOnly,sub,word16,game52,2,1
redSquare2,stripedCircle2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,46,subOnly,sub,word6,game52,1,2
spottedCircle1,redSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,47,subOnly,sub,word5,game52,2,1
blueSquare1,blueSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,48,subOnly,sub,word15,game52,1,2
redSquare2,spottedCircle1,stripedCircle2,redSquare1,redSquare1,redSquare1,49,subOnly,sub,word9,game52,2,1
blueSquare1,redSquare2,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,50,subOnly,sub,word16,game52,1,2
spottedCircle1,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare2,51,subOnly,sub,word11,game52,2,1
stripedCircle1,spottedCircle2,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,52,subOnly,sub,word5,game52,1,2
redSquare1,stripedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,53,subOnly,sub,word6,game52,2,1
stripedCircle2,spottedCircle1,redSquare2,spottedCircle2,spottedCircle2,spottedCircle2,54,subOnly,sub,word13,game52,1,2
stripedCircle1,spottedCircle2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,55,subOnly,sub,word15,game52,2,1
spottedCircle2,redSquare2,blueSquare2,blueSquare1,blueSquare1,blueSquare1,56,subOnly,sub,word12,game52,1,2
redSquare2,blueSquare1,stripedCircle1,redSquare1,redSquare1,redSquare1,57,subOnly,sub,word9,game52,2,1
blueSquare1,spottedCircle1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,58,subOnly,sub,word13,game52,1,2
blueSquare1,spottedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,59,subOnly,sub,word16,game52,2,1
spottedCircle2,redSquare1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,60,subOnly,sub,word6,game52,1,2
stripedCircle1,blueSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,61,subOnly,sub,word12,game52,2,1
redSquare1,stripedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,62,subOnly,sub,word11,game52,1,2
spottedCircle1,redSquare1,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,63,subOnly,sub,word5,game52,2,1
stripedCircle2,spottedCircle2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle1,64,subOnly,sub,word15,game52,1,2
stripedCircle2,blueSquare2,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,65,subOnly,sub,word12,game52,2,1
blueSquare1,spottedCircle1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,66,subOnly,sub,word6,game52,1,2
