object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
stripedCircle1,spottedCircle1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle1,1,mixedLower,sub,word16,game26,2,1
redSquare2,stripedCircle2,spottedCircle1,blueSquare1,blueSquare1,stripedCircle2,2,mixedLower,basic,word4,game26,1,2
stripedCircle1,blueSquare2,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle1,3,mixedLower,sub,word8,game26,2,1
blueSquare2,stripedCircle2,redSquare1,stripedCircle1,stripedCircle1,redSquare1,4,mixedLower,sub,word13,game26,1,2
redSquare1,redSquare2,stripedCircle1,spottedCircle1,spottedCircle1,redSquare2,5,mixedLower,basic,word9,game26,2,1
stripedCircle1,stripedCircle2,redSquare1,spottedCircle2,spottedCircle2,stripedCircle2,6,mixedLower,basic,word11,game26,1,2
spottedCircle2,redSquare1,stripedCircle2,redSquare2,redSquare2,stripedCircle2,7,mixedLower,sub,word6,game26,2,1
stripedCircle1,redSquare2,blueSquare2,redSquare1,redSquare1,blueSquare2,8,mixedLower,sub,word5,game26,1,2
spottedCircle1,spottedCircle2,blueSquare2,stripedCircle2,stripedCircle2,spottedCircle2,9,mixedLower,basic,word1,game26,2,1
redSquare1,stripedCircle1,redSquare2,blueSquare2,blueSquare2,stripedCircle1,10,mixedLower,basic,word4,game26,1,2
redSquare1,spottedCircle1,blueSquare2,blueSquare1,blueSquare1,blueSquare2,11,mixedLower,sub,word4,game26,2,1
blueSquare2,stripedCircle2,blueSquare1,redSquare2,redSquare2,redSquare2,12,mixedLower,basic,word6,game26,1,2
stripedCircle2,spottedCircle1,blueSquare1,redSquare1,redSquare1,blueSquare1,13,mixedLower,basic,word5,game26,2,1
blueSquare1,stripedCircle1,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,14,mixedLower,sub,word4,game26,1,2
redSquare1,spottedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,15,mixedLower,basic,word13,game26,2,1
spottedCircle2,redSquare1,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle2,16,mixedLower,sub,word12,game26,1,2
redSquare1,blueSquare2,spottedCircle1,stripedCircle2,stripedCircle2,spottedCircle1,17,mixedLower,basic,word1,game26,2,1
spottedCircle1,redSquare2,stripedCircle2,redSquare1,redSquare1,redSquare1,18,mixedLower,sub,word5,game26,1,2
stripedCircle2,spottedCircle2,redSquare1,stripedCircle1,stripedCircle1,stripedCircle1,19,mixedLower,sub,word13,game26,2,1
blueSquare2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,blueSquare2,20,mixedLower,sub,word11,game26,1,2
blueSquare1,spottedCircle2,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle2,21,mixedLower,sub,word9,game26,2,1
blueSquare1,spottedCircle2,spottedCircle1,redSquare1,redSquare1,redSquare1,22,mixedLower,basic,word5,game26,1,2
stripedCircle1,spottedCircle2,blueSquare2,stripedCircle2,stripedCircle2,spottedCircle2,23,mixedLower,sub,word1,game26,2,1
spottedCircle2,blueSquare2,blueSquare1,redSquare2,redSquare2,redSquare2,24,mixedLower,basic,word6,game26,1,2
redSquare1,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,25,mixedLower,basic,word12,game26,2,1
redSquare2,spottedCircle2,blueSquare1,blueSquare2,blueSquare2,blueSquare2,26,mixedLower,sub,word4,game26,1,2
spottedCircle1,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare2,27,mixedLower,sub,word6,game26,2,1
redSquare2,blueSquare2,stripedCircle2,spottedCircle1,spottedCircle1,stripedCircle2,28,mixedLower,basic,word1,game26,1,2
spottedCircle2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,29,mixedLower,basic,word13,game26,2,1
