object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
redSquare2,stripedCircle2,redSquare1,spottedCircle2,spottedCircle2,redSquare2,1,mixedLower,basic,word16,game13,2,1
redSquare1,spottedCircle1,stripedCircle2,stripedCircle1,stripedCircle1,spottedCircle1,2,mixedLower,sub,word8,game13,1,2
blueSquare2,spottedCircle2,stripedCircle1,redSquare2,redSquare2,blueSquare2,3,mixedLower,basic,word6,game13,2,1
stripedCircle1,stripedCircle2,redSquare2,blueSquare2,blueSquare2,redSquare2,4,mixedLower,basic,word6,game13,1,2
spottedCircle1,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare2,5,mixedLower,sub,word15,game13,2,1
blueSquare1,spottedCircle2,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,6,mixedLower,sub,word9,game13,1,2
blueSquare1,stripedCircle2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,7,mixedLower,sub,word13,game13,2,1
redSquare2,spottedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,redSquare2,8,mixedLower,basic,word8,game13,1,2
blueSquare2,spottedCircle2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,9,mixedLower,sub,word10,game13,2,1
stripedCircle2,redSquare1,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,10,mixedLower,basic,word9,game13,1,2
redSquare1,redSquare2,blueSquare1,blueSquare2,blueSquare2,blueSquare2,11,mixedLower,sub,word6,game13,2,1
stripedCircle1,spottedCircle2,redSquare2,blueSquare1,blueSquare1,blueSquare1,12,mixedLower,basic,word10,game13,1,2
redSquare2,spottedCircle1,spottedCircle2,redSquare1,redSquare1,redSquare1,13,mixedLower,sub,word3,game13,2,1
spottedCircle1,stripedCircle1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,14,mixedLower,sub,word8,game13,1,2
spottedCircle2,blueSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,15,mixedLower,basic,word14,game13,2,1
stripedCircle1,blueSquare1,stripedCircle2,redSquare1,redSquare1,redSquare1,16,mixedLower,basic,word3,game13,1,2
spottedCircle2,blueSquare2,redSquare2,blueSquare1,blueSquare1,blueSquare1,17,mixedLower,sub,word10,game13,2,1
blueSquare1,blueSquare2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,18,mixedLower,sub,word13,game13,1,2
spottedCircle2,blueSquare1,stripedCircle1,blueSquare2,blueSquare2,blueSquare2,19,mixedLower,sub,word6,game13,2,1
stripedCircle1,blueSquare1,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,20,mixedLower,sub,word8,game13,1,2
stripedCircle2,spottedCircle2,redSquare1,blueSquare2,blueSquare2,blueSquare2,21,mixedLower,basic,word6,game13,2,1
stripedCircle2,redSquare1,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,22,mixedLower,basic,word13,game13,1,2
blueSquare2,blueSquare1,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,23,mixedLower,basic,word8,game13,2,1
redSquare2,spottedCircle1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,24,mixedLower,basic,word6,game13,1,2
stripedCircle2,blueSquare2,stripedCircle1,redSquare1,redSquare1,redSquare1,25,mixedLower,basic,word3,game13,2,1
stripedCircle2,blueSquare1,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,26,mixedLower,sub,word14,game13,1,2
spottedCircle2,redSquare2,stripedCircle1,redSquare1,redSquare1,redSquare1,27,mixedLower,sub,word3,game13,2,1
