object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
stripedCircle2,redSquare1,blueSquare2,blueSquare1,blueSquare1,stripedCircle2,1,mixedLower,sub,word6,game97,2,1
stripedCircle1,redSquare1,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,2,mixedLower,basic,word4,game97,1,2
spottedCircle1,blueSquare2,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle2,3,mixedLower,basic,word1,game97,2,1
blueSquare2,stripedCircle1,blueSquare1,redSquare1,redSquare1,redSquare1,4,mixedLower,basic,word2,game97,1,2
blueSquare2,redSquare1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,5,mixedLower,sub,word5,game97,2,1
blueSquare2,spottedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle1,6,mixedLower,sub,word4,game97,1,2
redSquare1,blueSquare2,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle2,7,mixedLower,sub,word1,game97,2,1
spottedCircle2,redSquare2,stripedCircle1,redSquare1,redSquare1,spottedCircle2,8,mixedLower,sub,word2,game97,1,2
spottedCircle1,redSquare2,stripedCircle1,blueSquare2,blueSquare2,blueSquare2,9,mixedLower,basic,word6,game97,2,1
blueSquare2,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,10,mixedLower,basic,word5,game97,1,2
blueSquare1,spottedCircle1,redSquare1,redSquare2,redSquare2,redSquare2,11,mixedLower,sub,word8,game97,2,1
spottedCircle1,blueSquare1,stripedCircle1,blueSquare2,blueSquare2,blueSquare1,12,mixedLower,sub,word16,game97,1,2
redSquare2,spottedCircle2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle1,13,mixedLower,sub,word12,game97,2,1
blueSquare2,redSquare2,spottedCircle1,stripedCircle1,stripedCircle1,redSquare2,14,mixedLower,basic,word10,game97,1,2
spottedCircle2,redSquare1,stripedCircle1,blueSquare1,blueSquare1,stripedCircle1,15,mixedLower,basic,word7,game97,2,1
spottedCircle1,blueSquare2,stripedCircle2,redSquare2,redSquare2,redSquare2,16,mixedLower,basic,word8,game97,1,2
redSquare1,blueSquare2,spottedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,17,mixedLower,basic,word1,game97,2,1
redSquare2,redSquare1,blueSquare1,blueSquare2,blueSquare2,redSquare1,18,mixedLower,sub,word16,game97,1,2
blueSquare2,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,19,mixedLower,basic,word4,game97,2,1
stripedCircle1,spottedCircle1,blueSquare2,blueSquare1,blueSquare1,blueSquare2,20,mixedLower,sub,word6,game97,1,2
blueSquare2,stripedCircle2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,21,mixedLower,basic,word5,game97,2,1
stripedCircle2,blueSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,22,mixedLower,basic,word8,game97,1,2
stripedCircle1,spottedCircle2,redSquare2,blueSquare1,blueSquare1,blueSquare1,23,mixedLower,basic,word6,game97,2,1
stripedCircle1,redSquare1,spottedCircle1,blueSquare2,blueSquare2,redSquare1,24,mixedLower,basic,word16,game97,1,2
stripedCircle1,redSquare1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,25,mixedLower,sub,word4,game97,2,1
blueSquare2,stripedCircle2,redSquare2,stripedCircle1,stripedCircle1,redSquare2,26,mixedLower,sub,word10,game97,1,2
redSquare2,blueSquare2,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,27,mixedLower,basic,word1,game97,2,1
stripedCircle1,blueSquare1,blueSquare2,redSquare1,redSquare1,blueSquare2,28,mixedLower,basic,word2,game97,1,2
blueSquare2,stripedCircle1,blueSquare1,stripedCircle2,stripedCircle2,stripedCircle1,29,mixedLower,sub,word10,game97,2,1
redSquare2,blueSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,30,mixedLower,sub,word2,game97,1,2
stripedCircle1,spottedCircle2,blueSquare1,spottedCircle1,spottedCircle1,spottedCircle2,31,mixedLower,sub,word5,game97,2,1
stripedCircle2,spottedCircle2,redSquare1,redSquare2,redSquare2,redSquare2,32,mixedLower,sub,word8,game97,1,2
spottedCircle2,stripedCircle1,blueSquare1,redSquare1,redSquare1,blueSquare1,33,mixedLower,basic,word16,game97,2,1
blueSquare1,spottedCircle1,redSquare2,stripedCircle2,stripedCircle2,spottedCircle1,34,mixedLower,basic,word1,game97,1,2
redSquare2,stripedCircle1,stripedCircle2,blueSquare2,blueSquare2,redSquare2,35,mixedLower,basic,word8,game97,2,1
blueSquare1,blueSquare2,stripedCircle1,redSquare2,redSquare2,redSquare2,36,mixedLower,basic,word8,game97,1,2
blueSquare2,stripedCircle2,blueSquare1,spottedCircle1,spottedCircle1,stripedCircle2,37,mixedLower,basic,word1,game97,2,1
redSquare2,stripedCircle1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,38,mixedLower,sub,word4,game97,1,2
spottedCircle1,spottedCircle2,redSquare2,redSquare1,redSquare1,redSquare2,39,mixedLower,sub,word16,game97,2,1
redSquare1,spottedCircle1,blueSquare1,stripedCircle1,stripedCircle1,redSquare1,40,mixedLower,basic,word10,game97,1,2
blueSquare1,redSquare1,stripedCircle1,blueSquare2,blueSquare2,blueSquare1,41,mixedLower,sub,word6,game97,2,1
blueSquare1,spottedCircle2,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,42,mixedLower,sub,word5,game97,1,2
stripedCircle1,stripedCircle2,redSquare1,blueSquare1,blueSquare1,blueSquare1,43,mixedLower,basic,word6,game97,2,1
spottedCircle1,spottedCircle2,redSquare1,redSquare2,redSquare2,redSquare2,44,mixedLower,sub,word8,game97,1,2
blueSquare1,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,45,mixedLower,basic,word4,game97,2,1
blueSquare2,redSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,46,mixedLower,sub,word1,game97,1,2
spottedCircle2,redSquare1,blueSquare2,blueSquare1,blueSquare1,blueSquare1,47,mixedLower,sub,word6,game97,2,1
redSquare1,spottedCircle2,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,48,mixedLower,sub,word10,game97,1,2
blueSquare2,spottedCircle1,blueSquare1,redSquare1,redSquare1,blueSquare2,49,mixedLower,basic,word16,game97,2,1
stripedCircle1,stripedCircle2,redSquare1,redSquare2,redSquare2,redSquare2,50,mixedLower,sub,word8,game97,1,2
redSquare1,stripedCircle1,stripedCircle2,blueSquare1,blueSquare1,blueSquare1,51,mixedLower,basic,word6,game97,2,1
redSquare1,spottedCircle2,stripedCircle1,blueSquare2,blueSquare2,redSquare1,52,mixedLower,basic,word16,game97,1,2
redSquare2,blueSquare2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,53,mixedLower,sub,word1,game97,2,1
redSquare2,spottedCircle1,blueSquare2,redSquare1,redSquare1,blueSquare2,54,mixedLower,sub,word2,game97,1,2
spottedCircle1,redSquare1,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,55,mixedLower,sub,word4,game97,2,1
blueSquare1,spottedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,56,mixedLower,basic,word8,game97,1,2
redSquare2,stripedCircle2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,57,mixedLower,basic,word4,game97,2,1
spottedCircle2,spottedCircle1,redSquare1,stripedCircle1,stripedCircle1,stripedCircle1,58,mixedLower,basic,word10,game97,1,2
spottedCircle1,stripedCircle1,blueSquare1,blueSquare2,blueSquare2,blueSquare2,59,mixedLower,sub,word16,game97,2,1
spottedCircle2,blueSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,60,mixedLower,sub,word6,game97,1,2
blueSquare1,stripedCircle2,blueSquare2,stripedCircle1,stripedCircle1,stripedCircle1,61,mixedLower,sub,word10,game97,2,1
stripedCircle1,redSquare2,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,62,mixedLower,basic,word5,game97,1,2
blueSquare2,redSquare2,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,63,mixedLower,basic,word1,game97,2,1
stripedCircle1,blueSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,64,mixedLower,sub,word5,game97,1,2
redSquare2,spottedCircle1,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,65,mixedLower,sub,word1,game97,2,1
redSquare1,spottedCircle2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,66,mixedLower,basic,word6,game97,1,2
stripedCircle1,blueSquare2,spottedCircle2,redSquare2,redSquare2,redSquare2,67,mixedLower,basic,word8,game97,2,1
redSquare1,blueSquare2,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,68,mixedLower,basic,word4,game97,1,2
stripedCircle2,blueSquare1,redSquare1,blueSquare2,blueSquare2,blueSquare2,69,mixedLower,sub,word16,game97,2,1
stripedCircle1,spottedCircle1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle1,70,mixedLower,sub,word5,game97,1,2
redSquare2,blueSquare1,spottedCircle2,stripedCircle2,stripedCircle2,stripedCircle2,71,mixedLower,basic,word1,game97,2,1
redSquare1,blueSquare2,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,72,mixedLower,basic,word10,game97,1,2
redSquare2,stripedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,73,mixedLower,basic,word16,game97,2,1
redSquare1,blueSquare2,blueSquare1,redSquare2,redSquare2,redSquare2,74,mixedLower,sub,word8,game97,1,2
stripedCircle1,blueSquare1,blueSquare2,redSquare1,redSquare1,blueSquare2,75,mixedLower,basic,word14,game97,2,1
redSquare2,blueSquare2,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,76,mixedLower,basic,word4,game97,1,2
stripedCircle1,redSquare2,spottedCircle2,redSquare1,redSquare1,redSquare1,77,mixedLower,sub,word14,game97,2,1
spottedCircle1,redSquare1,blueSquare2,blueSquare1,blueSquare1,blueSquare1,78,mixedLower,sub,word6,game97,1,2
spottedCircle2,blueSquare2,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,79,mixedLower,sub,word10,game97,2,1
spottedCircle2,stripedCircle2,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,80,mixedLower,sub,word5,game97,1,2
spottedCircle2,blueSquare2,spottedCircle1,redSquare2,redSquare2,redSquare2,81,mixedLower,basic,word8,game97,2,1
blueSquare1,spottedCircle2,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,82,mixedLower,sub,word16,game97,1,2
blueSquare2,blueSquare1,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,83,mixedLower,sub,word1,game97,2,1
stripedCircle2,redSquare2,blueSquare2,redSquare1,redSquare1,redSquare1,84,mixedLower,sub,word14,game97,1,2
spottedCircle2,blueSquare1,stripedCircle2,stripedCircle1,stripedCircle1,stripedCircle1,85,mixedLower,sub,word10,game97,2,1
stripedCircle2,blueSquare2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,86,mixedLower,basic,word4,game97,1,2
