object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
blueSquare1,stripedCircle1,stripedCircle2,redSquare2,redSquare2,blueSquare1,1,mixedLower,basic,word3,game5,2,1
stripedCircle2,redSquare1,blueSquare2,spottedCircle1,spottedCircle1,stripedCircle2,2,mixedLower,basic,word4,game5,1,2
stripedCircle2,redSquare1,stripedCircle1,redSquare2,redSquare2,redSquare2,3,mixedLower,sub,word3,game5,2,1
stripedCircle1,spottedCircle1,redSquare1,blueSquare1,blueSquare1,blueSquare1,4,mixedLower,basic,word2,game5,1,2
spottedCircle1,blueSquare2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,5,mixedLower,basic,word8,game5,2,1
blueSquare2,spottedCircle1,redSquare2,redSquare1,redSquare1,redSquare1,6,mixedLower,sub,word11,game5,1,2
spottedCircle1,blueSquare1,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,7,mixedLower,sub,word2,game5,2,1
blueSquare1,redSquare1,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,8,mixedLower,basic,word8,game5,1,2
stripedCircle2,spottedCircle1,blueSquare2,blueSquare1,blueSquare1,blueSquare1,9,mixedLower,sub,word1,game5,2,1
redSquare1,stripedCircle2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,10,mixedLower,sub,word8,game5,1,2
spottedCircle2,stripedCircle2,redSquare2,spottedCircle1,spottedCircle1,spottedCircle1,11,mixedLower,sub,word4,game5,2,1
blueSquare2,stripedCircle2,blueSquare1,redSquare1,redSquare1,redSquare1,12,mixedLower,basic,word11,game5,1,2
redSquare2,blueSquare1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,13,mixedLower,basic,word6,game5,2,1
blueSquare2,redSquare1,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,14,mixedLower,sub,word10,game5,1,2
spottedCircle2,redSquare2,spottedCircle1,blueSquare2,blueSquare2,blueSquare2,15,mixedLower,basic,word2,game5,2,1
spottedCircle1,blueSquare1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,16,mixedLower,sub,word6,game5,1,2
blueSquare1,spottedCircle2,stripedCircle1,redSquare2,redSquare2,redSquare2,17,mixedLower,basic,word3,game5,2,1
stripedCircle2,blueSquare2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,18,mixedLower,sub,word8,game5,1,2
stripedCircle1,redSquare2,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,19,mixedLower,basic,word1,game5,2,1
spottedCircle1,spottedCircle2,redSquare1,stripedCircle1,stripedCircle1,stripedCircle1,20,mixedLower,basic,word8,game5,1,2
blueSquare1,stripedCircle2,redSquare2,blueSquare2,blueSquare2,blueSquare2,21,mixedLower,sub,word2,game5,2,1
blueSquare1,stripedCircle1,redSquare1,spottedCircle1,spottedCircle1,spottedCircle1,22,mixedLower,basic,word4,game5,1,2
spottedCircle1,redSquare1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,23,mixedLower,basic,word10,game5,2,1
redSquare2,stripedCircle2,redSquare1,blueSquare2,blueSquare2,blueSquare2,24,mixedLower,basic,word2,game5,1,2
redSquare2,spottedCircle1,stripedCircle2,spottedCircle2,spottedCircle2,spottedCircle2,25,mixedLower,sub,word6,game5,2,1
blueSquare2,spottedCircle2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,26,mixedLower,sub,word1,game5,1,2
stripedCircle1,blueSquare2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,27,mixedLower,basic,word6,game5,2,1
blueSquare1,spottedCircle1,stripedCircle1,redSquare1,redSquare1,redSquare1,28,mixedLower,basic,word11,game5,1,2
stripedCircle2,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare2,29,mixedLower,sub,word3,game5,2,1
redSquare2,stripedCircle2,blueSquare2,redSquare1,redSquare1,redSquare1,30,mixedLower,sub,word11,game5,1,2
redSquare1,redSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,31,mixedLower,sub,word4,game5,2,1
stripedCircle1,redSquare2,blueSquare2,stripedCircle2,stripedCircle2,stripedCircle2,32,mixedLower,sub,word10,game5,1,2
blueSquare1,spottedCircle1,spottedCircle2,blueSquare2,blueSquare2,blueSquare2,33,mixedLower,sub,word2,game5,2,1
spottedCircle2,redSquare2,blueSquare1,redSquare1,redSquare1,redSquare1,34,mixedLower,sub,word11,game5,1,2
redSquare1,stripedCircle2,blueSquare1,stripedCircle1,stripedCircle1,stripedCircle1,35,mixedLower,sub,word8,game5,2,1
stripedCircle1,redSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,36,mixedLower,basic,word1,game5,1,2
redSquare1,spottedCircle2,redSquare2,blueSquare2,blueSquare2,blueSquare2,37,mixedLower,basic,word2,game5,2,1
blueSquare2,stripedCircle1,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,38,mixedLower,basic,word6,game5,1,2
blueSquare1,stripedCircle1,spottedCircle1,redSquare2,redSquare2,redSquare2,39,mixedLower,basic,word3,game5,2,1
stripedCircle2,spottedCircle1,blueSquare1,spottedCircle2,spottedCircle2,spottedCircle2,40,mixedLower,sub,word6,game5,1,2
blueSquare1,redSquare1,blueSquare2,redSquare2,redSquare2,redSquare2,41,mixedLower,sub,word3,game5,2,1
redSquare1,stripedCircle1,stripedCircle2,spottedCircle1,spottedCircle1,spottedCircle1,42,mixedLower,basic,word4,game5,1,2
spottedCircle2,blueSquare2,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,43,mixedLower,basic,word10,game5,2,1
stripedCircle2,blueSquare1,blueSquare2,redSquare1,redSquare1,redSquare1,44,mixedLower,basic,word11,game5,1,2
blueSquare2,stripedCircle1,redSquare1,stripedCircle2,stripedCircle2,stripedCircle2,45,mixedLower,sub,word10,game5,2,1
