object1name,object2name,object3name,object4name,intendedName,clickedName,trialNum,condition,contextType,wordID,id,speakerID,listenerID
stripedCircle1,blueSquare1,spottedCircle2,stripedCircle2,stripedCircle2,spottedCircle2,1,mixedLower,sub,word2,game54,2,1
stripedCircle2,redSquare2,blueSquare1,spottedCircle2,spottedCircle2,redSquare2,2,mixedLower,basic,word4,game54,1,2
blueSquare2,redSquare1,redSquare2,blueSquare1,blueSquare1,blueSquare1,3,mixedLower,sub,word7,game54,2,1
redSquare1,stripedCircle2,stripedCircle1,blueSquare2,blueSquare2,redSquare1,4,mixedLower,basic,word7,game54,1,2
blueSquare1,blueSquare2,stripedCircle1,redSquare2,redSquare2,stripedCircle1,5,mixedLower,basic,word3,game54,2,1
stripedCircle2,redSquare2,blueSquare2,spottedCircle1,spottedCircle1,spottedCircle1,6,mixedLower,basic,word12,game54,1,2
blueSquare2,stripedCircle2,redSquare1,redSquare2,redSquare2,stripedCircle2,7,mixedLower,sub,word3,game54,2,1
spottedCircle2,blueSquare1,redSquare1,stripedCircle1,stripedCircle1,stripedCircle1,8,mixedLower,basic,word6,game54,1,2
spottedCircle2,stripedCircle1,blueSquare1,blueSquare2,blueSquare2,blueSquare1,9,mixedLower,sub,word14,game54,2,1
spottedCircle1,spottedCircle2,redSquare1,blueSquare1,blueSquare1,redSquare1,10,mixedLower,basic,word14,game54,1,2
redSquare2,spottedCircle1,blueSquare2,stripedCircle2,stripedCircle2,spottedCircle1,11,mixedLower,basic,word7,game54,2,1
stripedCircle2,spottedCircle2,stripedCircle1,spottedCircle1,spottedCircle1,spottedCircle2,12,mixedLower,sub,word12,game54,1,2
blueSquare2,spottedCircle1,stripedCircle2,redSquare1,redSquare1,stripedCircle2,13,mixedLower,basic,word3,game54,2,1
spottedCircle2,blueSquare1,stripedCircle2,stripedCircle1,stripedCircle1,blueSquare1,14,mixedLower,sub,word2,game54,1,2
redSquare2,spottedCircle1,redSquare1,spottedCircle2,spottedCircle2,redSquare1,15,mixedLower,sub,word8,game54,2,1
redSquare2,stripedCircle2,spottedCircle2,redSquare1,redSquare1,redSquare2,16,mixedLower,sub,word8,game54,1,2
redSquare2,redSquare1,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle1,17,mixedLower,sub,word7,game54,2,1
spottedCircle1,blueSquare2,spottedCircle2,redSquare2,redSquare2,redSquare2,18,mixedLower,basic,word8,game54,1,2
spottedCircle2,redSquare2,stripedCircle2,blueSquare2,blueSquare2,spottedCircle2,19,mixedLower,basic,word11,game54,2,1
spottedCircle1,blueSquare2,redSquare1,stripedCircle1,stripedCircle1,redSquare1,20,mixedLower,basic,word2,game54,1,2
redSquare2,stripedCircle2,spottedCircle2,spottedCircle1,spottedCircle1,stripedCircle2,21,mixedLower,sub,word3,game54,2,1
blueSquare1,stripedCircle1,spottedCircle1,redSquare1,redSquare1,stripedCircle1,22,mixedLower,basic,word2,game54,1,2
stripedCircle1,blueSquare1,blueSquare2,spottedCircle1,spottedCircle1,stripedCircle1,23,mixedLower,basic,word3,game54,2,1
redSquare1,stripedCircle1,blueSquare2,blueSquare1,blueSquare1,blueSquare2,24,mixedLower,sub,word16,game54,1,2
redSquare1,stripedCircle2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle1,25,mixedLower,sub,word4,game54,2,1
stripedCircle2,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,stripedCircle1,26,mixedLower,sub,word2,game54,1,2
blueSquare1,spottedCircle2,redSquare1,blueSquare2,blueSquare2,spottedCircle2,27,mixedLower,sub,word11,game54,2,1
blueSquare2,redSquare1,blueSquare1,redSquare2,redSquare2,blueSquare1,28,mixedLower,sub,word3,game54,1,2
stripedCircle1,redSquare2,spottedCircle1,blueSquare1,blueSquare1,redSquare2,29,mixedLower,basic,word11,game54,2,1
redSquare1,spottedCircle1,redSquare2,stripedCircle2,stripedCircle2,stripedCircle2,30,mixedLower,basic,word3,game54,1,2
redSquare2,blueSquare1,stripedCircle2,redSquare1,redSquare1,stripedCircle2,31,mixedLower,sub,word6,game54,2,1
blueSquare2,stripedCircle2,redSquare1,spottedCircle2,spottedCircle2,spottedCircle2,32,mixedLower,basic,word9,game54,1,2
spottedCircle2,blueSquare1,redSquare2,blueSquare2,blueSquare2,redSquare2,33,mixedLower,sub,word11,game54,2,1
redSquare2,stripedCircle2,blueSquare2,spottedCircle2,spottedCircle2,spottedCircle2,34,mixedLower,basic,word9,game54,1,2
stripedCircle1,redSquare2,spottedCircle2,spottedCircle1,spottedCircle1,spottedCircle2,35,mixedLower,sub,word9,game54,2,1
stripedCircle2,redSquare2,spottedCircle1,blueSquare1,blueSquare1,stripedCircle2,36,mixedLower,basic,word2,game54,1,2
spottedCircle2,blueSquare1,stripedCircle2,redSquare2,redSquare2,stripedCircle2,37,mixedLower,basic,word2,game54,2,1
stripedCircle2,spottedCircle1,redSquare1,blueSquare2,blueSquare2,blueSquare2,38,mixedLower,basic,word11,game54,1,2
spottedCircle2,spottedCircle1,blueSquare1,stripedCircle2,stripedCircle2,blueSquare1,39,mixedLower,basic,word7,game54,2,1
blueSquare2,stripedCircle2,redSquare1,redSquare2,redSquare2,redSquare1,40,mixedLower,sub,word3,game54,1,2
redSquare2,stripedCircle1,blueSquare1,redSquare1,redSquare1,blueSquare1,41,mixedLower,sub,word16,game54,2,1
blueSquare1,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,spottedCircle1,42,mixedLower,basic,word3,game54,1,2
stripedCircle1,blueSquare2,redSquare2,blueSquare1,blueSquare1,blueSquare1,43,mixedLower,sub,word14,game54,2,1
spottedCircle2,redSquare1,stripedCircle2,stripedCircle1,stripedCircle1,spottedCircle2,44,mixedLower,sub,word3,game54,1,2
blueSquare1,spottedCircle2,stripedCircle1,stripedCircle2,stripedCircle2,stripedCircle1,45,mixedLower,sub,word3,game54,2,1
stripedCircle2,spottedCircle1,stripedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,46,mixedLower,sub,word9,game54,1,2
blueSquare2,blueSquare1,spottedCircle1,redSquare1,redSquare1,spottedCircle1,47,mixedLower,basic,word3,game54,2,1
stripedCircle1,blueSquare1,redSquare2,spottedCircle1,spottedCircle1,redSquare2,48,mixedLower,basic,word9,game54,1,2
spottedCircle2,stripedCircle1,spottedCircle1,stripedCircle2,stripedCircle2,stripedCircle2,49,mixedLower,sub,word7,game54,2,1
blueSquare1,redSquare1,spottedCircle1,stripedCircle1,stripedCircle1,spottedCircle1,50,mixedLower,basic,word9,game54,1,2
stripedCircle1,redSquare1,spottedCircle2,blueSquare2,blueSquare2,redSquare1,51,mixedLower,basic,word11,game54,2,1
stripedCircle2,redSquare1,blueSquare1,spottedCircle2,spottedCircle2,stripedCircle2,52,mixedLower,basic,word9,game54,1,2
redSquare1,blueSquare2,stripedCircle2,spottedCircle1,spottedCircle1,stripedCircle2,53,mixedLower,basic,word3,game54,2,1
spottedCircle2,stripedCircle1,blueSquare1,redSquare1,redSquare1,spottedCircle2,54,mixedLower,basic,word16,game54,1,2
stripedCircle1,spottedCircle1,redSquare1,redSquare2,redSquare2,spottedCircle1,55,mixedLower,sub,word12,game54,2,1
redSquare1,stripedCircle2,spottedCircle2,blueSquare1,blueSquare1,blueSquare1,56,mixedLower,basic,word14,game54,1,2
stripedCircle1,spottedCircle2,redSquare2,spottedCircle1,spottedCircle1,stripedCircle1,57,mixedLower,sub,word14,game54,2,1
spottedCircle2,redSquare2,redSquare1,stripedCircle2,stripedCircle2,redSquare1,58,mixedLower,basic,word3,game54,1,2
blueSquare2,redSquare2,spottedCircle1,blueSquare1,blueSquare1,blueSquare1,59,mixedLower,sub,word14,game54,2,1
blueSquare1,redSquare2,stripedCircle1,blueSquare2,blueSquare2,redSquare2,60,mixedLower,sub,word7,game54,1,2
stripedCircle2,redSquare2,spottedCircle1,redSquare1,redSquare1,stripedCircle2,61,mixedLower,sub,word6,game54,2,1
redSquare2,blueSquare2,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle1,62,mixedLower,sub,word2,game54,1,2
blueSquare1,stripedCircle2,blueSquare2,redSquare2,redSquare2,redSquare2,63,mixedLower,basic,word6,game54,2,1
stripedCircle2,spottedCircle1,redSquare2,stripedCircle1,stripedCircle1,redSquare2,64,mixedLower,sub,word3,game54,1,2
stripedCircle1,stripedCircle2,redSquare1,blueSquare1,blueSquare1,blueSquare1,65,mixedLower,basic,word14,game54,2,1
redSquare1,stripedCircle1,redSquare2,spottedCircle1,spottedCircle1,redSquare1,66,mixedLower,basic,word12,game54,1,2
spottedCircle2,stripedCircle2,spottedCircle1,stripedCircle1,stripedCircle1,spottedCircle1,67,mixedLower,sub,word7,game54,2,1
blueSquare2,spottedCircle2,stripedCircle2,redSquare2,redSquare2,redSquare2,68,mixedLower,basic,word7,game54,1,2
stripedCircle2,spottedCircle2,redSquare1,spottedCircle1,spottedCircle1,redSquare1,69,mixedLower,sub,word7,game54,2,1
blueSquare2,spottedCircle2,redSquare2,stripedCircle1,stripedCircle1,stripedCircle1,70,mixedLower,basic,word3,game54,1,2
stripedCircle2,blueSquare1,redSquare1,redSquare2,redSquare2,redSquare1,71,mixedLower,sub,word6,game54,2,1
redSquare2,stripedCircle1,blueSquare1,stripedCircle2,stripedCircle2,redSquare2,72,mixedLower,sub,word6,game54,1,2
spottedCircle2,blueSquare1,spottedCircle1,blueSquare2,blueSquare2,spottedCircle1,73,mixedLower,sub,word11,game54,2,1
stripedCircle1,redSquare1,blueSquare1,spottedCircle2,spottedCircle2,blueSquare1,74,mixedLower,basic,word10,game54,1,2
blueSquare2,redSquare2,redSquare1,blueSquare1,blueSquare1,blueSquare1,75,mixedLower,sub,word14,game54,2,1
stripedCircle1,redSquare1,stripedCircle2,blueSquare2,blueSquare2,blueSquare2,76,mixedLower,basic,word14,game54,1,2
spottedCircle2,blueSquare2,redSquare2,redSquare1,redSquare1,redSquare1,77,mixedLower,sub,word6,game54,2,1
redSquare2,redSquare1,spottedCircle1,spottedCircle2,spottedCircle2,spottedCircle2,78,mixedLower,sub,word9,game54,1,2
redSquare1,blueSquare2,spottedCircle2,stripedCircle2,stripedCircle2,redSquare1,79,mixedLower,basic,word7,game54,2,1
spottedCircle1,spottedCircle2,blueSquare1,redSquare1,redSquare1,spottedCircle1,80,mixedLower,basic,word7,game54,1,2
