role,bonus,repid,roomid,target,content,trialnum,networkid,stimsetid,partnernum,participantid
speaker,0,0,0,tangram_I.png,The one that looks like someone lifting their leg behind them,0,1,2,0,1
speaker,0.03,0,0,tangram_K.png,The one that looks like a person kneeling and praying,1,1,2,0,1
speaker,0.06,0,0,tangram_H.png,The one that is a bean shape under the diamond head,2,1,2,0,1
speaker,0.09,0,0,tangram_J.png,The one that looks like a square body with a jagged right edge,3,1,2,0,1
speaker,0.12,1,0,tangram_H.png,The one that looks like a person sitting and looking down.,4,1,2,0,4
speaker,0.15,1,0,tangram_K.png,The one that looks like a person kneeling and praying.,5,1,2,0,4
speaker,0.18,1,0,tangram_J.png,The slightly square one with a jagged right edge.,6,1,2,0,4
speaker,0.21,1,0,tangram_I.png,The one that looks like a person throwing a kick behind them.,7,1,2,0,4
speaker,0.24,2,0,tangram_J.png,the one with the square body with a jagged right edge,8,1,2,0,1
speaker,0.27,2,0,tangram_K.png,the one kneeling and praying,9,1,2,0,1
speaker,0.3,2,0,tangram_I.png,the one lifting a leg behind them,10,1,2,0,1
speaker,0.33,2,0,tangram_H.png,the one sitting and looking down,11,1,2,0,1
speaker,0.36,3,0,tangram_K.png,The one kneeling and praying.,12,1,2,0,4
speaker,0.39,3,0,tangram_I.png,The one with a raised leg.,13,1,2,0,4
speaker,0.42,3,0,tangram_H.png,The one sitting and looking down.,14,1,2,0,4
speaker,0.45,3,0,tangram_J.png,The square one with a jagged right edge.,15,1,2,0,4
listener,0,0,1,tangram_K.png,"Hello, whatcha got for a description?",0,1,2,0,3
speaker,0,0,1,tangram_K.png,A person kneeling and praying,0,1,2,0,2
listener,0,0,1,tangram_K.png,"got it, i see it",0,1,2,0,3
listener,0.03,0,1,tangram_H.png,alright round 2,1,1,2,0,3
speaker,0.03,0,1,tangram_H.png,A person sitting with their arms to their sides,1,1,2,0,2
listener,0.03,0,1,tangram_H.png,yup i see it,1,1,2,0,3
listener,0.06,0,1,tangram_J.png,got the dude pointing and the dude doing a karate kick,2,1,2,0,3
speaker,0.06,0,1,tangram_J.png,A person pointing to the right,2,1,2,0,2
listener,0.09,0,1,tangram_I.png,aiiiiiight we're doing good,3,1,2,0,3
speaker,0.09,0,1,tangram_I.png,a person kicking their leg out,3,1,2,0,2
speaker,0.12,1,1,tangram_K.png,alright bingo -- so this one is a guy on his knees praying,4,1,2,0,3
speaker,0.15,1,1,tangram_H.png,now ive got a dude sitting with arms to the side,5,1,2,0,3
speaker,0.18,1,1,tangram_I.png,now ive got a guy doing a kick,6,1,2,0,3
speaker,0.21,1,1,tangram_J.png,now ive got a dude standing pointing to the right,7,1,2,0,3
speaker,0.24,2,1,tangram_K.png,praying,8,1,2,0,2
speaker,0.27,2,1,tangram_H.png,sitting with arms at sides,9,1,2,0,2
speaker,0.3,2,1,tangram_I.png,kicking,10,1,2,0,2
speaker,0.33,2,1,tangram_J.png,pointing,11,1,2,0,2
speaker,0.36,3,1,tangram_I.png,kicking dude,12,1,2,0,3
speaker,0.39,3,1,tangram_K.png,praying dude,13,1,2,0,3
speaker,0.42,3,1,tangram_H.png,sitting dude,14,1,2,0,3
speaker,0.45,3,1,tangram_J.png,pointing guy,15,1,2,0,3
speaker,0.48,0,2,tangram_K.png,The one that looks like a person kneeing and praying.,0,1,2,1,4
speaker,0.51,0,2,tangram_H.png,The one that looks like a person sitting and looking down.,1,1,2,1,4
speaker,0.54,0,2,tangram_J.png,The slightly square one with a jagged right edge.,2,1,2,1,4
speaker,0.57,0,2,tangram_I.png,The one that looks like a person raising their leg.,3,1,2,1,4
speaker,0.6,1,2,tangram_H.png,sitting and looking down,4,1,2,1,2
speaker,0.63,1,2,tangram_K.png,praying,5,1,2,1,2
speaker,0.66,1,2,tangram_I.png,kicking leg,6,1,2,1,2
speaker,0.69,1,2,tangram_J.png,jagged edge,7,1,2,1,2
speaker,0.72,2,2,tangram_I.png,kicking leg,8,1,2,1,4
speaker,0.75,2,2,tangram_K.png,praying,9,1,2,1,4
speaker,0.78,2,2,tangram_H.png,sitting and looking down,10,1,2,1,4
speaker,0.81,2,2,tangram_J.png,jagged right edge,11,1,2,1,4
speaker,0.84,3,2,tangram_H.png,sitting,12,1,2,1,2
speaker,0.87,3,2,tangram_K.png,praying,13,1,2,1,2
speaker,0.9,3,2,tangram_J.png,jagged edge,14,1,2,1,2
speaker,0.93,3,2,tangram_I.png,kicking,15,1,2,1,2
speaker,0.48,0,3,tangram_J.png,ive got a guy standing and pointing to the right but he's not kicking or kneeling,0,1,2,1,3
speaker,0.51,0,3,tangram_H.png,"now ive got a dude sitting with his arms to the side, NOT praying",1,1,2,1,3
speaker,0.54,0,3,tangram_I.png,now ive got a guy doing a karate kick move,2,1,2,1,3
speaker,0.57,0,3,tangram_K.png,now ive got a dude praying,3,1,2,1,3
listener,0.6,1,3,tangram_I.png,"nice, whatcha see?",4,1,2,1,3
