bonus,roomid,trialnum,networkid,object_id,partnernum,stim_set_id,participantid,previously_interacted_with_neighbor_of_partner
0,0,0,1,target,0,2,4,FALSE
0.03,0,1,1,target,0,2,4,FALSE
0.06,0,2,1,target,0,2,4,FALSE
0.09,0,3,1,target,0,2,4,FALSE
0.12,0,4,1,target,0,2,1,FALSE
0.15,0,5,1,target,0,2,1,FALSE
0.18,0,6,1,target,0,2,1,FALSE
0.21,0,7,1,target,0,2,1,FALSE
0.24,0,8,1,target,0,2,4,FALSE
0.27,0,9,1,target,0,2,4,FALSE
0.3,0,10,1,target,0,2,4,FALSE
0.33,0,11,1,target,0,2,4,FALSE
0.36,0,12,1,target,0,2,1,FALSE
0.39,0,13,1,target,0,2,1,FALSE
0.42,0,14,1,target,0,2,1,FALSE
0.45,0,15,1,target,0,2,1,FALSE
0,1,0,1,target,0,2,3,FALSE
0.03,1,1,1,target,0,2,3,FALSE
0.06,1,2,1,target,0,2,3,FALSE
0.09,1,3,1,target,0,2,3,FALSE
0.12,1,4,1,target,0,2,2,FALSE
0.15,1,5,1,target,0,2,2,FALSE
0.18,1,6,1,target,0,2,2,FALSE
0.21,1,7,1,target,0,2,2,FALSE
0.24,1,8,1,target,0,2,3,FALSE
0.27,1,9,1,target,0,2,3,FALSE
0.3,1,10,1,target,0,2,3,FALSE
0.33,1,11,1,target,0,2,3,FALSE
0.36,1,12,1,target,0,2,2,FALSE
0.39,1,13,1,target,0,2,2,FALSE
0.42,1,14,1,target,0,2,2,FALSE
0.45,1,15,1,target,0,2,2,FALSE
0.48,2,0,1,target,1,2,2,FALSE
0.51,2,1,1,target,1,2,2,FALSE
0.54,2,2,1,target,1,2,2,FALSE
0.57,2,3,1,target,1,2,2,FALSE
0.6,2,4,1,target,1,2,4,FALSE
0.63,2,5,1,target,1,2,4,FALSE
0.66,2,6,1,target,1,2,4,FALSE
0.69,2,7,1,target,1,2,4,FALSE
0.72,2,8,1,target,1,2,2,FALSE
0.75,2,9,1,target,1,2,2,FALSE
0.78,2,10,1,target,1,2,2,FALSE
0.81,2,11,1,target,1,2,2,FALSE
0.84,2,12,1,target,1,2,4,FALSE
0.87,2,13,1,target,1,2,4,FALSE
0.9,2,14,1,target,1,2,4,FALSE
0.93,2,15,1,target,1,2,4,FALSE
0.48,3,0,1,target,1,2,1,FALSE
0.51,3,1,1,target,1,2,1,FALSE
0.54,3,2,1,target,1,2,1,FALSE
0.57,3,3,1,target,1,2,1,FALSE
0.6,3,4,1,target,1,2,3,FALSE
0.63,3,5,1,target,1,2,3,FALSE
0.66,3,6,1,target,1,2,3,FALSE
0.69,3,7,1,target,1,2,3,FALSE
0.72,3,8,1,target,1,2,1,FALSE
0.75,3,9,1,target,1,2,1,FALSE
0.78,3,10,1,target,1,2,1,FALSE
0.81,3,11,1,target,1,2,1,FALSE
0.84,3,12,1,target,1,2,3,FALSE
0.87,3,13,1,target,1,2,3,FALSE
0.9,3,14,1,target,1,2,3,FALSE
0.93,3,15,1,target,1,2,3,FALSE
0.96,4,0,1,target,2,2,4,TRUE
0.99,4,1,1,target,2,2,4,TRUE
1.02,4,2,1,target,2,2,4,TRUE
1.05,4,3,1,target,2,2,4,TRUE
1.08,4,4,1,target,2,2,3,TRUE
1.11,4,5,1,target,2,2,3,TRUE
1.14,4,6,1,target,2,2,3,TRUE
1.17,4,7,1,target,2,2,3,TRUE
1.2,4,8,1,target,2,2,4,TRUE
1.23,4,9,1,target,2,2,4,TRUE
1.26,4,10,1,target,2,2,4,TRUE
1.29,4,11,1,target,2,2,4,TRUE
1.32,4,12,1,target,2,2,3,TRUE
1.35,4,13,1,target,2,2,3,TRUE
1.38,4,14,1,target,2,2,3,TRUE
1.41,4,15,1,target,2,2,3,TRUE
0.96,5,0,1,target,2,2,2,TRUE
0.99,5,1,1,target,2,2,2,TRUE
1.02,5,2,1,target,2,2,2,TRUE
1.05,5,3,1,target,2,2,2,TRUE
1.08,5,4,1,target,2,2,1,TRUE
1.11,5,5,1,target,2,2,1,TRUE
1.14,5,6,1,target,2,2,1,TRUE
1.17,5,7,1,target,2,2,1,TRUE
1.2,5,8,1,target,2,2,2,TRUE
1.23,5,9,1,target,2,2,2,TRUE
1.26,5,10,1,target,2,2,2,TRUE
1.29,5,11,1,target,2,2,2,TRUE
1.32,5,12,1,target,2,2,1,TRUE
1.35,5,13,1,target,2,2,1,TRUE
1.38,5,14,1,target,2,2,1,TRUE
1.41,5,15,1,target,2,2,1,TRUE
0,0,0,2,distr1,0,1,7,FALSE
0,0,1,2,target,0,1,7,FALSE
0.03,0,2,2,target,0,1,7,FALSE
0.06,0,3,2,target,0,1,7,FALSE
0.09,0,4,2,target,0,1,5,FALSE
0.12,0,5,2,target,0,1,5,FALSE
0.15,0,6,2,target,0,1,5,FALSE
0.18,0,7,2,target,0,1,5,FALSE
0.21,0,8,2,target,0,1,7,FALSE
0.24,0,9,2,target,0,1,7,FALSE
0.27,0,10,2,target,0,1,7,FALSE
0.3,0,11,2,target,0,1,7,FALSE
0.33,0,12,2,target,0,1,5,FALSE
0.36,0,13,2,target,0,1,5,FALSE
0.39,0,14,2,target,0,1,5,FALSE
0.42,0,15,2,target,0,1,5,FALSE
0,1,0,2,target,0,1,8,FALSE
