model,time,partnerID,alpha,cost,chainNum,prediction
complete_pooling,0,1,11,7,0,0.7222087291316347
complete_pooling,1,1,11,7,0,0.9407664934815995
complete_pooling,2,1,11,7,0,0.9794132568891091
complete_pooling,3,1,11,7,0,0.9876425706468587
complete_pooling,4,2,11,7,0,0.9910693382837457
complete_pooling,5,2,11,7,0,0.9939897022534108
complete_pooling,6,2,11,7,0,0.9960773039976457
complete_pooling,7,2,11,7,0,0.9969376660082799
complete_pooling,8,3,11,7,0,0.9973357620184059
complete_pooling,9,3,11,7,0,0.9976484515156383
complete_pooling,10,3,11,7,0,0.9980875899978681
complete_pooling,11,3,11,7,0,0.9985259752224045
complete_pooling,12,4,11,7,0,0.9986751975981968
hierarchical,0,1,11,7,0,0.7166512531742215
hierarchical,1,1,11,7,0,0.9930058309343333
hierarchical,2,1,11,7,0,0.9977245919682185
hierarchical,3,1,11,7,0,0.998963109485762
hierarchical,4,2,11,7,0,0.8355523051343251
hierarchical,5,2,11,7,0,0.9945954038693074
hierarchical,6,2,11,7,0,0.9981235835341999
hierarchical,7,2,11,7,0,0.9994847218826057
hierarchical,8,3,11,7,0,0.9163170764663875
hierarchical,9,3,11,7,0,0.9957113295706485
hierarchical,10,3,11,7,0,0.9985163815602918
hierarchical,11,3,11,7,0,0.9994040283347484
hierarchical,12,4,11,7,0,0.9399113816823766
no_pooling,0,1,11,7,0,0.6961440549736493
no_pooling,1,1,11,7,0,0.9920597351338806
no_pooling,2,1,11,7,0,0.9971002318984489
no_pooling,3,1,11,7,0,0.9987551922627659
no_pooling,4,2,11,7,0,0.7407932967872176
no_pooling,5,2,11,7,0,0.9923765792973887
no_pooling,6,2,11,7,0,0.99699474636766
no_pooling,7,2,11,7,0,0.998580329109702
no_pooling,8,3,11,7,0,0.7304478936593585
no_pooling,9,3,11,7,0,0.9907109115005355
no_pooling,10,3,11,7,0,0.9961498761757139
no_pooling,11,3,11,7,0,0.9988512124477914
no_pooling,12,4,11,7,0,0.7243262833671562
